Train Episode: 1	Loss: 1.371621	Accuracy: 0.400	 Current training data per class: 110
Train Episode: 2	Loss: 1.703823	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 110
Train Episode: 4	Loss: 3.850148	Accuracy: 0.080	 Current training data per class: 110
Train Episode: 5	Loss: 2.814094	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 6	Loss: 1.676883	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 7	Loss: 1.773053	Accuracy: 0.230	 Current training data per class: 110
Train Episode: 8	Loss: 1.629306	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 9	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 10	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 11	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 110
Train Episode: 13	Loss: 4.102426	Accuracy: 0.240	 Current training data per class: 110
Train Episode: 14	Loss: 3.850148	Accuracy: 0.130	 Current training data per class: 110
Train Episode: 15	Loss: 1.713580	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 16	Loss: 1.671286	Accuracy: 0.210	 Current training data per class: 110
Train Episode: 17	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 110
Train Episode: 18	Loss: 3.850148	Accuracy: 0.230	 Current training data per class: 110
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 110
Train Episode: 20	Loss: 1.405657	Accuracy: 0.200	 Current training data per class: 110
