Train Episode: 1	Loss: 1.055207	Accuracy: 0.510	 Current training data: 80
Train Episode: 2	Loss: 1.264109	Accuracy: 0.490	 Current training data: 80
Train Episode: 3	Loss: 0.940258	Accuracy: 0.570	 Current training data: 80
Train Episode: 4	Loss: 0.920456	Accuracy: 0.710	 Current training data: 80
Train Episode: 5	Loss: 1.373950	Accuracy: 0.420	 Current training data: 80
Train Episode: 6	Loss: 0.906257	Accuracy: 0.640	 Current training data: 80
Train Episode: 7	Loss: 1.727682	Accuracy: 0.360	 Current training data: 80
Train Episode: 8	Loss: 0.683789	Accuracy: 0.730	 Current training data: 80
Train Episode: 9	Loss: 0.764926	Accuracy: 0.780	 Current training data: 80
Train Episode: 10	Loss: 1.097994	Accuracy: 0.630	 Current training data: 80
Train Episode: 11	Loss: 1.283776	Accuracy: 0.460	 Current training data: 80
Train Episode: 12	Loss: 1.113382	Accuracy: 0.480	 Current training data: 80
Train Episode: 13	Loss: 0.789771	Accuracy: 0.690	 Current training data: 80
Train Episode: 14	Loss: 0.778572	Accuracy: 0.700	 Current training data: 80
Train Episode: 15	Loss: 1.652506	Accuracy: 0.520	 Current training data: 80
Train Episode: 16	Loss: 0.925145	Accuracy: 0.590	 Current training data: 80
Train Episode: 17	Loss: 1.170856	Accuracy: 0.390	 Current training data: 80
Train Episode: 18	Loss: 1.039278	Accuracy: 0.610	 Current training data: 80
Train Episode: 19	Loss: 0.986678	Accuracy: 0.570	 Current training data: 80
Train Episode: 20	Loss: 1.046524	Accuracy: 0.610	 Current training data: 80
