Train Episode: 1	Loss: 1.565685	Accuracy: 0.390	 Current training data: 5
Train Episode: 2	Loss: 1.935206	Accuracy: 0.200	 Current training data: 5
Train Episode: 3	Loss: 1.567779	Accuracy: 0.370	 Current training data: 5
Train Episode: 4	Loss: 2.148872	Accuracy: 0.400	 Current training data: 5
Train Episode: 5	Loss: 2.068925	Accuracy: 0.250	 Current training data: 5
Train Episode: 6	Loss: 1.962205	Accuracy: 0.200	 Current training data: 5
Train Episode: 7	Loss: 2.359715	Accuracy: 0.200	 Current training data: 5
Train Episode: 8	Loss: 1.348890	Accuracy: 0.400	 Current training data: 5
Train Episode: 9	Loss: 1.704293	Accuracy: 0.320	 Current training data: 5
Train Episode: 10	Loss: 2.088896	Accuracy: 0.210	 Current training data: 5
Train Episode: 11	Loss: 1.738848	Accuracy: 0.200	 Current training data: 5
Train Episode: 12	Loss: 1.974864	Accuracy: 0.240	 Current training data: 5
Train Episode: 13	Loss: 1.639292	Accuracy: 0.230	 Current training data: 5
Train Episode: 14	Loss: 1.709245	Accuracy: 0.220	 Current training data: 5
Train Episode: 15	Loss: 1.968319	Accuracy: 0.200	 Current training data: 5
Train Episode: 16	Loss: 1.874128	Accuracy: 0.200	 Current training data: 5
Train Episode: 17	Loss: 1.750055	Accuracy: 0.380	 Current training data: 5
Train Episode: 18	Loss: 1.679466	Accuracy: 0.420	 Current training data: 5
Train Episode: 19	Loss: 1.834841	Accuracy: 0.220	 Current training data: 5
Train Episode: 20	Loss: 0.826164	Accuracy: 0.600	 Current training data: 5
