Episode: 1: [ 0.27053535  0.03697454 -0.01454803 -0.45932928 -0.92235583 -0.9747702
 -0.55486745 -0.24295755  0.4271715 ] 
Episode: 441: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 451: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 461: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 471: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 481: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 491: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 501: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 511: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 521: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 531: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 541: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 551: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 561: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 571: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 581: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
Episode: 591: [ 0.2683638   0.03949392 -0.01218032 -0.46147534 -0.9183779  -0.9704849
 -0.549603   -0.24342784  0.42786053] 
