Train Episode: 1	Loss: 1.434918	Accuracy: 0.350	 Current training data per class: 80
Train Episode: 2	Loss: 1.656465	Accuracy: 0.180	 Current training data per class: 80
Train Episode: 3	Loss: 1.703298	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 4	Loss: 1.353156	Accuracy: 0.380	 Current training data per class: 80
Train Episode: 5	Loss: 1.633658	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 6	Loss: 1.614805	Accuracy: 0.240	 Current training data per class: 80
Train Episode: 7	Loss: 1.632362	Accuracy: 0.230	 Current training data per class: 80
Train Episode: 8	Loss: 1.640483	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 9	Loss: 1.619780	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 10	Loss: 1.620219	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 11	Loss: 1.645535	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 12	Loss: 2.970048	Accuracy: 0.400	 Current training data per class: 80
Train Episode: 13	Loss: 1.639101	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 14	Loss: 1.552494	Accuracy: 0.260	 Current training data per class: 80
Train Episode: 15	Loss: 1.617892	Accuracy: 0.160	 Current training data per class: 80
Train Episode: 16	Loss: 1.677192	Accuracy: 0.210	 Current training data per class: 80
Train Episode: 17	Loss: 1.643838	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 18	Loss: 1.354483	Accuracy: 0.380	 Current training data per class: 80
Train Episode: 19	Loss: 1.623880	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 20	Loss: 33.104645	Accuracy: 0.400	 Current training data per class: 80
