Train Episode: 1	Loss: 0.697794	Accuracy: 0.475	 Current training data: 20
Train Episode: 2	Loss: 0.687526	Accuracy: 0.500	 Current training data: 20
Train Episode: 3	Loss: 0.722876	Accuracy: 0.525	 Current training data: 20
Train Episode: 4	Loss: 0.699252	Accuracy: 0.525	 Current training data: 20
Train Episode: 5	Loss: 0.753055	Accuracy: 0.500	 Current training data: 20
Train Episode: 6	Loss: 0.809335	Accuracy: 0.500	 Current training data: 20
Train Episode: 7	Loss: 0.690240	Accuracy: 0.500	 Current training data: 20
Train Episode: 8	Loss: 0.699255	Accuracy: 0.500	 Current training data: 20
Train Episode: 9	Loss: 0.718190	Accuracy: 0.500	 Current training data: 20
Train Episode: 10	Loss: 0.688795	Accuracy: 0.600	 Current training data: 20
Train Episode: 11	Loss: 0.758936	Accuracy: 0.500	 Current training data: 20
Train Episode: 12	Loss: 0.697381	Accuracy: 0.500	 Current training data: 20
Train Episode: 13	Loss: 0.734209	Accuracy: 0.500	 Current training data: 20
Train Episode: 14	Loss: 0.694431	Accuracy: 0.500	 Current training data: 20
Train Episode: 15	Loss: 0.758974	Accuracy: 0.500	 Current training data: 20
Train Episode: 16	Loss: 0.716140	Accuracy: 0.500	 Current training data: 20
Train Episode: 17	Loss: 0.694572	Accuracy: 0.500	 Current training data: 20
Train Episode: 18	Loss: 0.713346	Accuracy: 0.500	 Current training data: 20
Train Episode: 19	Loss: 0.802618	Accuracy: 0.500	 Current training data: 20
Train Episode: 20	Loss: 0.693883	Accuracy: 0.500	 Current training data: 20
