Train Episode: 1	Loss: 1.567533	Accuracy: 0.370	 Current training data: 40
Train Episode: 2	Loss: 1.637692	Accuracy: 0.360	 Current training data: 40
Train Episode: 3	Loss: 1.587468	Accuracy: 0.320	 Current training data: 40
Train Episode: 4	Loss: 1.701460	Accuracy: 0.200	 Current training data: 40
Train Episode: 5	Loss: 1.608239	Accuracy: 0.200	 Current training data: 40
Train Episode: 6	Loss: 1.557027	Accuracy: 0.290	 Current training data: 40
Train Episode: 7	Loss: 1.617560	Accuracy: 0.200	 Current training data: 40
Train Episode: 8	Loss: 1.580622	Accuracy: 0.200	 Current training data: 40
Train Episode: 9	Loss: 1.583325	Accuracy: 0.420	 Current training data: 40
Train Episode: 10	Loss: 1.603124	Accuracy: 0.200	 Current training data: 40
Train Episode: 11	Loss: 1.602712	Accuracy: 0.200	 Current training data: 40
Train Episode: 12	Loss: 1.304218	Accuracy: 0.240	 Current training data: 40
Train Episode: 13	Loss: 1.313084	Accuracy: 0.400	 Current training data: 40
Train Episode: 14	Loss: 1.276471	Accuracy: 0.400	 Current training data: 40
Train Episode: 15	Loss: 1.562017	Accuracy: 0.300	 Current training data: 40
Train Episode: 16	Loss: 1.299315	Accuracy: 0.400	 Current training data: 40
Train Episode: 17	Loss: 1.584830	Accuracy: 0.200	 Current training data: 40
Train Episode: 18	Loss: 1.609893	Accuracy: 0.450	 Current training data: 40
Train Episode: 19	Loss: 1.583251	Accuracy: 0.390	 Current training data: 40
Train Episode: 20	Loss: 1.609362	Accuracy: 0.360	 Current training data: 40
