Train Episode: 1	Loss: 3905336320.000000	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 2	Loss: 6660.045410	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 4	Loss: 132027.265625	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 5	Loss: 32938.769531	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 6	Loss: 6693.084473	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 7	Loss: 5415.117676	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 8	Loss: 11681.120117	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 9	Loss: 10503.250000	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 28559.417969	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 5572.401855	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 12	Loss: 38581.613281	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 13	Loss: 4833.147949	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 14	Loss: 42046.574219	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 16	Loss: 8393.800781	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 17	Loss: 839.460327	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 18	Loss: 11818.116211	Accuracy: 0.210	 Current training data per class: 50
Train Episode: 19	Loss: 5780.740723	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 20	Loss: 7287.154785	Accuracy: 0.200	 Current training data per class: 50
