Train Episode: 1	Loss: 1.952722	Accuracy: 0.370	 Current training data per class: 60
Train Episode: 2	Loss: 1.651743	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 3	Loss: 1.678959	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 4	Loss: 1.363210	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 5	Loss: 1.620977	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 6	Loss: 38.842762	Accuracy: 0.180	 Current training data per class: 60
Train Episode: 7	Loss: 1.647014	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 8	Loss: 1.624249	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 9	Loss: 4.317206	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 10	Loss: 1.682348	Accuracy: 0.210	 Current training data per class: 60
Train Episode: 11	Loss: 1.631863	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 12	Loss: 1.339272	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 13	Loss: 1.659899	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 14	Loss: 1.709324	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 15	Loss: 1.578280	Accuracy: 0.240	 Current training data per class: 60
Train Episode: 16	Loss: 7.724950	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 17	Loss: 1.650963	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 18	Loss: 1.399801	Accuracy: 0.400	 Current training data per class: 60
Train Episode: 19	Loss: 1.797212	Accuracy: 0.200	 Current training data per class: 60
Train Episode: 20	Loss: 1.378628	Accuracy: 0.400	 Current training data per class: 60
