Train Episode: 1	Loss: 3.508841	Accuracy: 0.300	 Current training data per class: 90
Train Episode: 2	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 4	Loss: 1.622436	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 5	Loss: 2.343978	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 6	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 7	Loss: 3.811996	Accuracy: 0.020	 Current training data per class: 90
Train Episode: 8	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 9	Loss: 2.287038	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 10	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 11	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 13	Loss: 3.850148	Accuracy: 0.330	 Current training data per class: 90
Train Episode: 14	Loss: 3.850148	Accuracy: 0.130	 Current training data per class: 90
Train Episode: 15	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 16	Loss: 1.662881	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 17	Loss: 1.726661	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 18	Loss: 1.498283	Accuracy: 0.240	 Current training data per class: 90
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
