Runner Episode: 1	Loss: 1.445787	Accuracy: 0.500 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.597038	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.603184	Accuracy: 0.150 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.713233	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.181422	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 3.063343	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.873075	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.893625	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.061432	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.121294	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.266375	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.245631	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.420784	Accuracy: 0.120 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.607139	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.373031	Accuracy: 0.170 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.349326	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.340347	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.887824	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.676651	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.622439	Accuracy: 0.210 	 Current Training Data Per Class: 5
