Train Episode: 1	Loss: 6.219037	Accuracy: 0.290	 Current training data per class: 30
Train Episode: 2	Loss: 6.268666	Accuracy: 0.160	 Current training data per class: 30
Train Episode: 3	Loss: 19744.289062	Accuracy: 0.230	 Current training data per class: 30
Train Episode: 4	Loss: 1.337524	Accuracy: 0.400	 Current training data per class: 30
Train Episode: 5	Loss: 3.527880	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 6	Loss: 3.338613	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 7	Loss: 66.325623	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 8	Loss: 136.778534	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 9	Loss: 4.964667	Accuracy: 0.250	 Current training data per class: 30
Train Episode: 10	Loss: 2.045434	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 11	Loss: 1.771477	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 12	Loss: 13.382730	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 13	Loss: 15737341.000000	Accuracy: 0.130	 Current training data per class: 30
Train Episode: 14	Loss: 9.344068	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 15	Loss: 1.610593	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 16	Loss: 43143064.000000	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 17	Loss: 2.844687	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 18	Loss: 1.374315	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 19	Loss: 1.641289	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 20	Loss: 1.339322	Accuracy: 0.400	 Current training data per class: 30
