Train Episode: 1	Loss: 1.330253	Accuracy: 0.600	 Current training data: 70
Train Episode: 2	Loss: 1.488020	Accuracy: 0.280	 Current training data: 70
Train Episode: 3	Loss: 1.509840	Accuracy: 0.440	 Current training data: 70
Train Episode: 4	Loss: 1.419751	Accuracy: 0.500	 Current training data: 70
Train Episode: 5	Loss: 1.587682	Accuracy: 0.200	 Current training data: 70
Train Episode: 6	Loss: 1.278643	Accuracy: 0.570	 Current training data: 70
Train Episode: 7	Loss: 1.303762	Accuracy: 0.430	 Current training data: 70
Train Episode: 8	Loss: 1.599264	Accuracy: 0.310	 Current training data: 70
Train Episode: 9	Loss: 1.666749	Accuracy: 0.200	 Current training data: 70
Train Episode: 10	Loss: 1.469429	Accuracy: 0.300	 Current training data: 70
Train Episode: 11	Loss: 1.649371	Accuracy: 0.460	 Current training data: 70
Train Episode: 12	Loss: 1.139145	Accuracy: 0.540	 Current training data: 70
Train Episode: 13	Loss: 1.070804	Accuracy: 0.540	 Current training data: 70
Train Episode: 14	Loss: 0.912401	Accuracy: 0.710	 Current training data: 70
Train Episode: 15	Loss: 1.483734	Accuracy: 0.410	 Current training data: 70
Train Episode: 16	Loss: 1.316035	Accuracy: 0.400	 Current training data: 70
Train Episode: 17	Loss: 1.562896	Accuracy: 0.200	 Current training data: 70
Train Episode: 18	Loss: 1.565705	Accuracy: 0.210	 Current training data: 70
Train Episode: 19	Loss: 1.511147	Accuracy: 0.310	 Current training data: 70
Train Episode: 20	Loss: 1.511918	Accuracy: 0.340	 Current training data: 70
