Train Episode: 1	Loss: 16956.457031	Accuracy: 0.400	 Current training data per class: 80
Train Episode: 2	Loss: 18993.894531	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 80
Train Episode: 4	Loss: 28047.904297	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 5	Loss: 198446.546875	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 6	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 7	Loss: 624739.500000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 8	Loss: 42934.679688	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 9	Loss: 30698.800781	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 80
Train Episode: 11	Loss: 9711.576172	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 12	Loss: 1053574.500000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 13	Loss: 16763.019531	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 14	Loss: 30120.779297	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 15	Loss: 830505.625000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 16	Loss: 24484.017578	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 17	Loss: 29082.392578	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 18	Loss: 3857415143424.000000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 19	Loss: 29935.515625	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 20	Loss: 1075727.375000	Accuracy: 0.200	 Current training data per class: 80
