Runner Episode: 1	Loss: 4.045094	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.985594	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.880666	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.625186	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.835883	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.952618	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 4.015042	Accuracy: 0.080 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.695147	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.917487	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.954996	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.914478	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.877585	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.803815	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.947179	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.976286	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.962660	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.894169	Accuracy: 0.110 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.999440	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.787177	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 4.081234	Accuracy: 0.000 	 Current Training Data Per Class: 0
