Train Episode: 1	Loss: 0.067989	Accuracy: 0.980	 Current training data per class: 300
Train Episode: 2	Loss: 0.623229	Accuracy: 0.740	 Current training data per class: 300
Train Episode: 3	Loss: 0.443147	Accuracy: 0.860	 Current training data per class: 300
Train Episode: 4	Loss: 0.254453	Accuracy: 0.890	 Current training data per class: 300
Train Episode: 5	Loss: 0.328170	Accuracy: 0.920	 Current training data per class: 300
Train Episode: 6	Loss: 0.156377	Accuracy: 0.940	 Current training data per class: 300
Train Episode: 7	Loss: 0.267422	Accuracy: 0.920	 Current training data per class: 300
Train Episode: 8	Loss: 0.301413	Accuracy: 0.920	 Current training data per class: 300
Train Episode: 9	Loss: 0.372659	Accuracy: 0.920	 Current training data per class: 300
Train Episode: 10	Loss: 0.237680	Accuracy: 0.900	 Current training data per class: 300
Train Episode: 11	Loss: 0.301975	Accuracy: 0.900	 Current training data per class: 300
Train Episode: 12	Loss: 0.447821	Accuracy: 0.940	 Current training data per class: 300
Train Episode: 13	Loss: 0.625132	Accuracy: 0.750	 Current training data per class: 300
Train Episode: 14	Loss: 0.511705	Accuracy: 0.860	 Current training data per class: 300
Train Episode: 15	Loss: 0.177157	Accuracy: 0.970	 Current training data per class: 300
Train Episode: 16	Loss: 0.203434	Accuracy: 0.910	 Current training data per class: 300
Train Episode: 17	Loss: 0.730345	Accuracy: 0.860	 Current training data per class: 300
Train Episode: 18	Loss: 0.111347	Accuracy: 0.970	 Current training data per class: 300
Train Episode: 19	Loss: 0.263077	Accuracy: 0.900	 Current training data per class: 300
Train Episode: 20	Loss: 0.349894	Accuracy: 0.900	 Current training data per class: 300
