Train Episode: 1	Loss: 1.520522	Accuracy: 0.220	 Current training data per class: 50
Train Episode: 2	Loss: 1.620656	Accuracy: 0.240	 Current training data per class: 50
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 4	Loss: 1.465734	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 5	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 6	Loss: 1.607430	Accuracy: 0.240	 Current training data per class: 50
Train Episode: 7	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 8	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 9	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 3.785518	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 13	Loss: 1.734741	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 14	Loss: 2.602269	Accuracy: 0.260	 Current training data per class: 50
Train Episode: 15	Loss: 1.845782	Accuracy: 0.190	 Current training data per class: 50
Train Episode: 16	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 17	Loss: 1.682912	Accuracy: 0.210	 Current training data per class: 50
Train Episode: 18	Loss: 1.325687	Accuracy: 0.440	 Current training data per class: 50
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 20	Loss: 1.573836	Accuracy: 0.410	 Current training data per class: 50
