Train Episode: 1	Loss: 1.420302	Accuracy: 0.580	 Current training data per class: 275
Train Episode: 2	Loss: 1.655679	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 3	Loss: 1.683839	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 4	Loss: 1.336923	Accuracy: 0.400	 Current training data per class: 275
Train Episode: 5	Loss: 1.616111	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 6	Loss: 1.616281	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 7	Loss: 1.617038	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 8	Loss: 1.611205	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 9	Loss: 1.612986	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 10	Loss: 2.066699	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 11	Loss: 1.646826	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 12	Loss: 1.460207	Accuracy: 0.400	 Current training data per class: 275
Train Episode: 13	Loss: 1.670236	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 14	Loss: 1.662285	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 15	Loss: 1.632666	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 16	Loss: 1.782972	Accuracy: 0.190	 Current training data per class: 275
Train Episode: 17	Loss: 1.724479	Accuracy: 0.210	 Current training data per class: 275
Train Episode: 18	Loss: 1.346127	Accuracy: 0.400	 Current training data per class: 275
Train Episode: 19	Loss: 1.813866	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 20	Loss: 1.345834	Accuracy: 0.400	 Current training data per class: 275
