Episode: 1: [0.4993     0.2229068  0.0993     0.04402137 0.0193    ] 
Episode: 11: [0.4996222  0.22292785 0.09927591 0.04382778 0.0194672 ] 
Episode: 21: [0.50395906 0.22735138 0.10405102 0.04899606 0.02544348] 
Episode: 31: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 41: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 51: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 61: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 71: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 81: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 91: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
Episode: 101: [0.50331926 0.22747289 0.10439838 0.04967635 0.02647584] 
