Episode: 1: [-9.999908e-05 -9.999906e-05  9.999920e-05] 
Episode: 11: [-0.00085622 -0.00082794  0.00084274] 
Episode: 21: [-0.00178036 -0.00172997  0.00175647] 
Episode: 31: [-0.00282531 -0.00275065  0.00278992] 
Episode: 41: [-0.00392425 -0.00383058  0.00387983] 
Episode: 51: [-0.00513761 -0.00502866  0.00508591] 
Episode: 61: [-0.00640455 -0.00627643  0.00634372] 
Episode: 71: [-0.00777611 -0.0076218   0.00770284] 
Episode: 81: [-0.00918449 -0.00899571  0.00909497] 
Episode: 91: [-0.01006143 -0.00983155  0.00995285] 
Episode: 101: [-0.01036379 -0.0101258   0.0102516 ] 
Episode: 111: [-0.01102331 -0.01072817  0.01088583] 
Episode: 121: [-0.01137769 -0.01102444  0.01121426] 
Episode: 131: [-0.01137838 -0.01097852  0.01119401] 
Episode: 141: [-0.01127286 -0.01082942  0.01106894] 
Episode: 151: [-0.01140206 -0.01089306  0.01116902] 
Episode: 161: [-0.01190855 -0.01131334  0.01163821] 
Episode: 171: [-0.01273836 -0.01205222  0.01242968] 
Episode: 181: [-0.01325393 -0.01247079  0.01290401] 
Episode: 191: [-0.01351651 -0.01264392  0.01312834] 
Episode: 201: [-0.01383492 -0.01284361  0.01339621] 
Episode: 211: [-0.01404716 -0.01294434  0.01356091] 
Episode: 221: [-0.01424114 -0.0130235   0.01370594] 
Episode: 231: [-0.01431458 -0.01300268  0.01373908] 
Episode: 241: [-0.01448198 -0.01302799  0.01384589] 
Episode: 251: [-0.01486749 -0.0132376   0.01415724] 
Episode: 261: [-0.01474922 -0.01299756  0.01398782] 
Episode: 271: [-0.01465199 -0.01277667  0.01383886] 
Episode: 281: [-0.01456756 -0.01258364  0.01370915] 
Episode: 291: [-0.0146569  -0.01254567  0.01374577] 
Episode: 301: [-0.01472064 -0.0125135   0.01376982] 
Episode: 311: [-0.01501409 -0.01269047  0.0140156 ] 
Episode: 321: [-0.01471331 -0.01229702  0.01367622] 
Episode: 331: [-0.01482107 -0.01227487  0.0137308 ] 
Episode: 341: [-0.01505507 -0.0123559   0.01390244] 
Episode: 351: [-0.01510103 -0.0122635   0.01389168] 
Episode: 361: [-0.01540376 -0.01243135  0.01413968] 
Episode: 371: [-0.01558128 -0.01248795  0.01426802] 
Episode: 381: [-0.0158904  -0.01264087  0.01451384] 
Episode: 391: [-0.01565195 -0.01227424  0.01422269] 
Episode: 401: [-0.01534747 -0.01187193  0.01387779] 
Episode: 411: [-0.01537343 -0.01179088  0.01386014] 
Episode: 421: [-0.01514294 -0.01144952  0.01358382] 
Episode: 431: [-0.01441709 -0.01055574  0.01278724] 
Episode: 441: [-0.01427016 -0.01033979  0.01261142] 
Episode: 451: [-0.01460965 -0.01069127  0.01295653] 
Episode: 461: [-0.01490385 -0.01098392  0.01325063] 
Episode: 471: [-0.01460714 -0.01066113  0.01294248] 
Episode: 481: [-0.01478698 -0.01085905  0.01313022] 
Episode: 491: [-0.01527988 -0.01140457  0.01364611] 
Episode: 501: [-0.01585805 -0.0120286   0.01424456] 
Episode: 511: [-0.01645895 -0.01268058  0.01486802] 
Episode: 521: [-0.01701293 -0.01326304  0.01543495] 
Episode: 531: [-0.01752065 -0.01378205  0.0159483 ] 
Episode: 541: [-0.01794845 -0.01421585  0.01637936] 
Episode: 551: [-0.01840801 -0.01465906  0.01683281] 
Episode: 561: [-0.01890199 -0.01513604  0.01732046] 
Episode: 571: [-0.01938281 -0.01560528  0.01779722] 
Episode: 581: [-0.0197561  -0.01594824  0.01815835] 
Episode: 591: [-0.02012564 -0.0162945   0.01851869] 
Episode: 601: [-0.02064218 -0.01679363  0.01902877] 
Episode: 611: [-0.02104272 -0.0171616   0.01941626] 
Episode: 621: [-0.02129577 -0.01738071  0.01965541] 
Episode: 631: [-0.02168267 -0.01773684  0.02003   ] 
Episode: 641: [-0.02210375 -0.01814308  0.02044553] 
Episode: 651: [-0.02237432 -0.01841306  0.02071631] 
Episode: 661: [-0.02274125 -0.01876742  0.02107856] 
Episode: 671: [-0.02312188 -0.0191368   0.02145508] 
Episode: 681: [-0.0235138  -0.01950857  0.02183917] 
Episode: 691: [-0.02386324 -0.01984128  0.02218215] 
Episode: 701: [-0.02419029 -0.02015598  0.02250454] 
Episode: 711: [-0.02441643 -0.02036111  0.02272216] 
Episode: 721: [-0.02446818 -0.02043968  0.02278522] 
Episode: 731: [-0.02472473 -0.02068974  0.02303956] 
Episode: 741: [-0.02508618 -0.02102323  0.02339004] 
Episode: 751: [-0.02539826 -0.02131778  0.02369542] 
Episode: 761: [-0.0257164  -0.02162192  0.02400835] 
Episode: 771: [-0.02607967 -0.02195941  0.02436159] 
Episode: 781: [-0.02653023 -0.02236449  0.02479408] 
Episode: 791: [-0.02696185 -0.02278217  0.02522075] 
Episode: 801: [-0.02737254 -0.02318345  0.02562834] 
Episode: 811: [-0.02772044 -0.02351058  0.02596828] 
Episode: 821: [-0.02788951 -0.02365499  0.02612742] 
Episode: 831: [-0.0281773  -0.02391925  0.02640597] 
Episode: 841: [-0.02847656 -0.02422426  0.02670824] 
Episode: 851: [-0.02883924 -0.02459585  0.02707538] 
Episode: 861: [-0.02927292 -0.02504339  0.02751571] 
Episode: 871: [-0.02972707 -0.02549008  0.02796769] 
Episode: 881: [-0.03001276 -0.02577024  0.02825166] 
Episode: 891: [-0.0302495  -0.02599984  0.02848592] 
Episode: 901: [-0.03055101 -0.02623782  0.02876161] 
Episode: 911: [-0.03091412 -0.02654227  0.02910109] 
Episode: 921: [-0.03105189 -0.02664528  0.0292247 ] 
Episode: 931: [-0.03129852 -0.02685     0.02945443] 
Episode: 941: [-0.03159608 -0.02713838  0.02974883] 
Episode: 951: [-0.03180109 -0.0273306   0.02994898] 
Episode: 961: [-0.03195043 -0.02747409  0.03009623] 
Episode: 971: [-0.03228107 -0.02779871  0.03042512] 
Episode: 981: [-0.03273652 -0.02819637  0.0308576 ] 
Episode: 991: [-0.03309957 -0.02852374  0.03120667] 
Episode: 1001: [-0.03335641 -0.02876842  0.03145907] 
Episode: 1011: [-0.03359243 -0.0289736   0.03168285] 
Episode: 1021: [-0.03389724 -0.0291899   0.03195168] 
Episode: 1031: [-0.03421541 -0.02944272  0.03224353] 
Episode: 1041: [-0.03457128 -0.02973768  0.03257507] 
Episode: 1051: [-0.0348292  -0.02997909  0.03282683] 
Episode: 1061: [-0.03511325 -0.03024803  0.03310538] 
Episode: 1071: [-0.03535032 -0.0304989   0.03334881] 
Episode: 1081: [-0.0354875  -0.03066567  0.03349863] 
Episode: 1091: [-0.03572174 -0.03085274  0.03371401] 
Episode: 1101: [-0.03581602 -0.03091495  0.03379528] 
Episode: 1111: [-0.03603738 -0.031087    0.03399697] 
Episode: 1121: [-0.03625223 -0.0312978   0.03421085] 
Episode: 1131: [-0.03653067 -0.03154869  0.03447884] 
Episode: 1141: [-0.03680445 -0.03175169  0.03472432] 
Episode: 1151: [-0.03693561 -0.03188548  0.03485708] 
Episode: 1161: [-0.03718004 -0.0321412   0.03510709] 
Episode: 1171: [-0.03740124 -0.03239771  0.03534368] 
Episode: 1181: [-0.03761688 -0.03264432  0.0355729 ] 
Episode: 1191: [-0.03785171 -0.03290794  0.0358205 ] 
Episode: 1201: [-0.03810424 -0.0331356   0.03606381] 
Episode: 1211: [-0.03827516 -0.03324125  0.03620863] 
Episode: 1221: [-0.03859107 -0.03346015  0.03648606] 
Episode: 1231: [-0.03897259 -0.03372226  0.03682025] 
Episode: 1241: [-0.03930081 -0.0339996   0.03712905] 
Episode: 1251: [-0.03949007 -0.03420293  0.03732494] 
Episode: 1261: [-0.03968692 -0.03440248  0.03752378] 
Episode: 1271: [-0.03980744 -0.03453223  0.03764864] 
Episode: 1281: [-0.04002782 -0.03475899  0.03787265] 
Episode: 1291: [-0.04029249 -0.03503321  0.03814248] 
Episode: 1301: [-0.04045638 -0.03522013  0.03831658] 
Episode: 1311: [-0.04074162 -0.03551045  0.03860528] 
Episode: 1321: [-0.04104557 -0.03583019  0.03891716] 
Episode: 1331: [-0.04129364 -0.0360709   0.03916345] 
Episode: 1341: [-0.04159587 -0.03631621  0.03944393] 
Episode: 1351: [-0.04188094 -0.0365647   0.03971551] 
Episode: 1361: [-0.04202778 -0.03672764  0.03986968] 
Episode: 1371: [-0.04219674 -0.03693022  0.04005325] 
Episode: 1381: [-0.0424608  -0.03715147  0.04030121] 
Episode: 1391: [-0.04221809 -0.03728458  0.04020366] 
Episode: 1401: [-0.04218138 -0.03743495  0.04024072] 
Episode: 1411: [-0.04230912 -0.03759697  0.0403838 ] 
Episode: 1421: [-0.04244057 -0.03775014  0.04052566] 
Episode: 1431: [-0.04264938 -0.03797323  0.04074298] 
Episode: 1441: [-0.04288523 -0.0381535   0.04096003] 
Episode: 1451: [-0.04307985 -0.03834982  0.04115801] 
Episode: 1461: [-0.04325825 -0.03856891  0.04135502] 
Episode: 1471: [-0.04348274 -0.03884824  0.04160437] 
Episode: 1481: [-0.04369044 -0.0391216   0.041841  ] 
Episode: 1491: [-0.04389131 -0.03932543  0.04204587] 
Episode: 1501: [-0.04409233 -0.0395613   0.04226356] 
Episode: 1511: [-0.04434111 -0.0398603   0.04253577] 
Episode: 1521: [-0.04453403 -0.04009964  0.04274984] 
Episode: 1531: [-0.0447642  -0.04031706  0.04297823] 
Episode: 1541: [-0.04505762 -0.04051541  0.04323819] 
Episode: 1551: [-0.04529651 -0.04069118  0.04345552] 
Episode: 1561: [-0.04553118 -0.04093041  0.04369541] 
Episode: 1571: [-0.04571908 -0.04109434  0.04387657] 
Episode: 1581: [-0.04589006 -0.04130965  0.04406762] 
Episode: 1591: [-0.04603825 -0.0414866   0.04422939] 
Episode: 1601: [-0.04613561 -0.04164326  0.04435169] 
Episode: 1611: [-0.04623303 -0.04179889  0.0444736 ] 
Episode: 1621: [-0.04648911 -0.04199005  0.04470781] 
Episode: 1631: [-0.04675469 -0.0422069   0.04495808] 
Episode: 1641: [-0.0469422  -0.04243585  0.04516481] 
Episode: 1651: [-0.04708114 -0.04267085  0.04534387] 
Episode: 1661: [-0.0472776  -0.04291921  0.04556383] 
Episode: 1671: [-0.04749975 -0.04316387  0.04579825] 
Episode: 1681: [-0.04761043 -0.04336099  0.04594481] 
Episode: 1691: [-0.04773163 -0.0435709   0.04610295] 
Episode: 1701: [-0.04788538 -0.04382307  0.04629799] 
Episode: 1711: [-0.04809566 -0.044094    0.04653547] 
Episode: 1721: [-0.04825241 -0.04430615  0.04671654] 
Episode: 1731: [-0.0485194  -0.0445227   0.04696767] 
Episode: 1741: [-0.04874045 -0.04473059  0.04718693] 
Episode: 1751: [-0.04895549 -0.0449537   0.04740853] 
Episode: 1761: [-0.04911568 -0.0451514   0.04758606] 
Episode: 1771: [-0.04928275 -0.04534828  0.04776755] 
Episode: 1781: [-0.04926118 -0.04550058  0.04781432] 
Episode: 1791: [-0.04942687 -0.04570389  0.04799753] 
Episode: 1801: [-0.04968471 -0.04595716  0.04825775] 
Episode: 1811: [-0.04993835 -0.04620942  0.048515  ] 
Episode: 1821: [-0.05015013 -0.04643667  0.04873639] 
Episode: 1831: [-0.05015659 -0.04650244  0.04876598] 
Episode: 1841: [-0.05018071 -0.04670395  0.0488601 ] 
Episode: 1851: [-0.05024574 -0.04690899  0.04898122] 
Episode: 1861: [-0.05036237 -0.04708853  0.04912467] 
Episode: 1871: [-0.05045212 -0.04733209  0.04927642] 
Episode: 1881: [-0.05053598 -0.04752741  0.04940556] 
Episode: 1891: [-0.0505879  -0.04768632  0.04950041] 
Episode: 1901: [-0.05071919 -0.04788123  0.04965908] 
Episode: 1911: [-0.0508255  -0.0480615   0.04979638] 
Episode: 1921: [-0.05105124 -0.04833402  0.05004466] 
Episode: 1931: [-0.05127326 -0.04853108  0.05026105] 
Episode: 1941: [-0.05146322 -0.04868913  0.05044209] 
Episode: 1951: [-0.05159611 -0.04884304  0.05058575] 
Episode: 1961: [-0.05170054 -0.04898447  0.05070669] 
Episode: 1971: [-0.0519398  -0.04918954  0.05093716] 
Episode: 1981: [-0.05216779 -0.04933182  0.051136  ] 
Episode: 1991: [-0.05231961 -0.04947156  0.05128607] 
Episode: 2001: [-0.05241849 -0.04959463  0.0513964 ] 
Episode: 2011: [-0.05250969 -0.0497349   0.05150866] 
Episode: 2021: [-0.05258669 -0.04987504  0.05161197] 
Episode: 2031: [-0.05270505 -0.04999932  0.05173503] 
Episode: 2041: [-0.05285966 -0.05017948  0.05190279] 
Episode: 2051: [-0.0530185  -0.05031085  0.0520541 ] 
Episode: 2061: [-0.05326695 -0.05045914  0.05226842] 
Episode: 2071: [-0.0534488  -0.05069274  0.05247434] 
Episode: 2081: [-0.053604   -0.05088332  0.05264667] 
Episode: 2091: [-0.05373749 -0.05107225  0.0528047 ] 
Episode: 2101: [-0.05385139 -0.05120703  0.05292919] 
Episode: 2111: [-0.05393523 -0.05135777  0.05304104] 
Episode: 2121: [-0.05405133 -0.05156791  0.05319647] 
Episode: 2131: [-0.05414947 -0.05175566  0.05333184] 
Episode: 2141: [-0.05423018 -0.05191845  0.05344645] 
Episode: 2151: [-0.05433995 -0.05202151  0.05355594] 
Episode: 2161: [-0.05451358 -0.05212628  0.05370629] 
Episode: 2171: [-0.05469231 -0.05222147  0.05385617] 
Episode: 2181: [-0.0548863  -0.05227962  0.05400119] 
Episode: 2191: [-0.05510347 -0.05235315  0.05416693] 
Episode: 2201: [-0.05525779 -0.05247925  0.0543137 ] 
Episode: 2211: [-0.05540049 -0.05262859  0.0544623 ] 
Episode: 2221: [-0.05551768 -0.05275921  0.05458751] 
Episode: 2231: [-0.05568098 -0.0528738   0.05473561] 
Episode: 2241: [-0.05583543 -0.05293929  0.05485889] 
Episode: 2251: [-0.05597823 -0.05304591  0.05499097] 
Episode: 2261: [-0.05601998 -0.05317068  0.05506633] 
Episode: 2271: [-0.05614115 -0.05326232  0.05517896] 
Episode: 2281: [-0.05627792 -0.05337494  0.05530971] 
Episode: 2291: [-0.05642053 -0.05344811  0.05542869] 
Episode: 2301: [-0.05662568 -0.05346203  0.05556406] 
Episode: 2311: [-0.05654024 -0.05358092  0.05555238] 
Episode: 2321: [-0.05639941 -0.05373215  0.05551938] 
Episode: 2331: [-0.05646478 -0.0539234   0.05563569] 
