Train Episode: 1	Loss: 1.809333	Accuracy: 0.360	 Current training data per class: 30
Train Episode: 2	Loss: 8.060025	Accuracy: 0.140	 Current training data per class: 30
Train Episode: 3	Loss: 1.620246	Accuracy: 0.260	 Current training data per class: 30
Train Episode: 4	Loss: 1.528327	Accuracy: 0.270	 Current training data per class: 30
Train Episode: 5	Loss: 1.716297	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 6	Loss: 1.661307	Accuracy: 0.170	 Current training data per class: 30
Train Episode: 7	Loss: 1.835026	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 8	Loss: 1.656312	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 9	Loss: 2.040498	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 10	Loss: 1.639760	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 11	Loss: 2.697717	Accuracy: 0.160	 Current training data per class: 30
Train Episode: 12	Loss: 2.056363	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 13	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 14	Loss: 1.853846	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 15	Loss: 1.685593	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 16	Loss: 1.650771	Accuracy: 0.190	 Current training data per class: 30
Train Episode: 17	Loss: 1.697316	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 18	Loss: 1.492673	Accuracy: 0.400	 Current training data per class: 30
Train Episode: 19	Loss: 2.009392	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 20	Loss: 1.356293	Accuracy: 0.400	 Current training data per class: 30
