Train Episode: 1	Loss: 1.375450	Accuracy: 0.400	 Current training data per class: 100
Train Episode: 2	Loss: 1.660392	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 3	Loss: 46.522778	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 4	Loss: 1016194.750000	Accuracy: 0.110	 Current training data per class: 100
Train Episode: 5	Loss: 1.657913	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 6	Loss: 7660.443848	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 7	Loss: 295115390189568.000000	Accuracy: 0.210	 Current training data per class: 100
Train Episode: 8	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 9	Loss: 213328626450432.000000	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 10	Loss: 621293.750000	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 11	Loss: 1.712599	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 100
Train Episode: 13	Loss: 442710458368.000000	Accuracy: 0.170	 Current training data per class: 100
Train Episode: 14	Loss: 7080514682880.000000	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 100
Train Episode: 16	Loss: 71.409012	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 17	Loss: 18228870905856.000000	Accuracy: 0.240	 Current training data per class: 100
Train Episode: 18	Loss: 11.365718	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 19	Loss: 613136026975147655168.000000	Accuracy: 0.190	 Current training data per class: 100
Train Episode: 20	Loss: 6773896380416.000000	Accuracy: 0.200	 Current training data per class: 100
