Episode: 1: [ 0.00069999 -0.00069995 -0.00069999 -0.00069999 -0.00069999] 
Episode: 11: [ 1.48572435e-05 -1.37428381e-03 -1.75447797e-03  8.83069355e-04
  1.37524767e-04] 
Episode: 21: [-1.1734236e-03 -7.2202808e-04 -6.1111568e-06 -1.8205572e-04
  8.1836944e-04] 
Episode: 31: [-1.5714261e-03 -4.1472353e-04 -1.5890473e-05 -4.3328939e-04
  1.3947538e-03] 
Episode: 751: [-0.02798102  0.00849517  0.02619518  0.01377026  0.00824521] 
Episode: 761: [-0.02793826  0.0084281   0.02604378  0.01408892  0.0083403 ] 
Episode: 771: [-0.02789641  0.00837536  0.02596447  0.01433996  0.00828426] 
Episode: 781: [-0.02785163  0.0083153   0.02585661  0.01434378  0.00842141] 
Episode: 791: [-0.02784576  0.00830993  0.02585446  0.01453605  0.00830553] 
Episode: 801: [-0.02788835  0.00838861  0.02602492  0.01416772  0.00814888] 
Episode: 811: [-0.0279082   0.00843622  0.02614661  0.01400305  0.00794728] 
Episode: 821: [-0.02792995  0.00847482  0.02625149  0.01376977  0.00786676] 
Episode: 831: [-0.02790108  0.00842083  0.02615415  0.01405404  0.00792519] 
Episode: 841: [-0.02786048  0.00835227  0.0260174   0.01454014  0.0079278 ] 
Episode: 851: [-0.02783215  0.00829859  0.02590705  0.01498868  0.00792484] 
Episode: 861: [-0.02776731  0.00817487  0.0255844   0.01573505  0.00819428] 
Episode: 871: [-0.02773469  0.00812229  0.02544202  0.01590197  0.00836071] 
Episode: 881: [-0.02769632  0.00807084  0.02530762  0.0158452   0.00858435] 
Episode: 891: [-0.0276636   0.00803025  0.02527787  0.01576342  0.00862729] 
Episode: 901: [-0.02758913  0.00793057  0.02504396  0.01600823  0.00882358] 
Episode: 911: [-0.02754793  0.00788799  0.02498501  0.01623582  0.00870129] 
Episode: 921: [-0.02757764  0.00794823  0.02513097  0.01618217  0.00841303] 
Episode: 931: [-0.02755813  0.00791832  0.02502185  0.01623101  0.00857468] 
Episode: 941: [-0.02756932  0.00793916  0.0250005   0.01645987  0.00847728] 
Episode: 951: [-0.02760101  0.00798908  0.02513181  0.01642498  0.00826645] 
Episode: 961: [-0.02768338  0.00811973  0.0253946   0.01631832  0.00786201] 
Episode: 971: [-0.02776253  0.00825317  0.02568437  0.01603755  0.00746641] 
Episode: 981: [-0.02770003  0.00817253  0.02559458  0.01618587  0.00745938] 
Episode: 991: [-0.02769272  0.00816861  0.02556725  0.01646509  0.00732413] 
Episode: 1001: [-0.02766502  0.00812252  0.02541155  0.01675957  0.00745158] 
Episode: 1011: [-0.02767891  0.00812798  0.0253316   0.0172311   0.00741833] 
Episode: 1021: [-0.02775095  0.00823293  0.02543778  0.0177979   0.00697492] 
Episode: 1031: [-0.02782448  0.00833537  0.0256431   0.01772968  0.00671603] 
Episode: 1041: [-0.02749196  0.00786625  0.02496822  0.01718727  0.00791481] 
Episode: 1051: [-0.02739991  0.00773158  0.0247522   0.01705297  0.0083114 ] 
Episode: 1061: [-0.02738415  0.00770269  0.02469174  0.01707687  0.00842226] 
Episode: 1071: [-0.02739477  0.00770718  0.02468659  0.0173256   0.00835595] 
Episode: 1081: [-0.02742092  0.00773663  0.02473733  0.01759684  0.00817842] 
Episode: 1091: [-0.02752879  0.00787075  0.02489945  0.01795616  0.00787439] 
Episode: 1101: [-0.02756858  0.00790755  0.02492811  0.01820418  0.00781322] 
Episode: 1111: [-0.02763112  0.00796611  0.02492339  0.01809934  0.00806348] 
Episode: 1121: [-0.02760216  0.00791241  0.02485134  0.01738355  0.00860342] 
Episode: 1131: [-0.02749772  0.00777218  0.02467687  0.01683915  0.00907963] 
Episode: 1141: [-0.02745021  0.00769965  0.0245648   0.01671584  0.00932738] 
Episode: 1151: [-0.02747164  0.00772148  0.02451033  0.01683212  0.0094175 ] 
Episode: 1161: [-0.02744637  0.00768344  0.02442719  0.01669645  0.00962539] 
Episode: 1171: [-0.02749569  0.00776475  0.02456001  0.01663727  0.00941125] 
Episode: 1181: [-0.02747132  0.00774099  0.024493    0.01666976  0.00944363] 
Episode: 1191: [-0.02743903  0.00769986  0.02443603  0.01682111  0.00941676] 
Episode: 1201: [-0.02743339  0.00768852  0.02442162  0.01679385  0.00946707] 
Episode: 1211: [-0.02739851  0.0076461   0.02438605  0.0166093   0.00956778] 
Episode: 1221: [-0.0274034   0.00765332  0.02436113  0.01676487  0.00953177] 
Episode: 1231: [-0.02741661  0.00767556  0.02439172  0.01685388  0.00942556] 
Episode: 1241: [-0.02741125  0.00766457  0.02436538  0.0169838   0.00941408] 
Episode: 1251: [-0.02740131  0.00765465  0.02436003  0.0169886   0.00939412] 
Episode: 1261: [-0.02738146  0.00762146  0.02433171  0.01675482  0.00957459] 
Episode: 1271: [-0.02729379  0.00744606  0.02404208  0.01666883  0.01028924] 
Episode: 1281: [-0.02716728  0.00721849  0.02373104  0.0170716   0.01073824] 
Episode: 1291: [-0.0269427   0.00685527  0.02308326  0.01782067  0.01150122] 
Episode: 1301: [-0.02684786  0.00672894  0.02285062  0.01824054  0.01157469] 
Episode: 1311: [-0.02683063  0.00670571  0.02274475  0.01857329  0.01156494] 
Episode: 1321: [-0.02681201  0.00667545  0.0226316   0.01871496  0.01169085] 
Episode: 1331: [-0.02676835  0.00660312  0.0225611   0.01909957  0.01162283] 
Episode: 1341: [-0.02698031  0.00697494  0.02337105  0.01915895  0.01002198] 
Episode: 1351: [-0.02703582  0.00707906  0.02372475  0.01915725  0.00933439] 
Episode: 1361: [-0.02692949  0.00690745  0.02356146  0.01937095  0.00951587] 
Episode: 1371: [-0.02719334  0.00732888  0.02459463  0.0183172   0.00827994] 
Episode: 1381: [-0.02782776  0.00833693  0.02681889  0.01642329  0.00544826] 
Episode: 1391: [-0.02796996  0.00859717  0.02748495  0.01521965  0.00478007] 
Episode: 1401: [-0.02791143  0.00859805  0.02764082  0.01493284  0.00425521] 
Episode: 1411: [-0.02790054  0.00861667  0.02774545  0.01499412  0.00388928] 
Episode: 1421: [-0.02789716  0.00862424  0.02776865  0.01528768  0.00364239] 
Episode: 1431: [-0.02789603  0.00864242  0.02774388  0.01567885  0.0033969 ] 
Episode: 1441: [-0.02792107  0.0086997   0.02768321  0.01592617  0.00329804] 
Episode: 1451: [-0.02794497  0.00874963  0.02761396  0.01617983  0.00323449] 
Episode: 1461: [-0.02786397  0.00868562  0.02744038  0.01558618  0.00355822] 
Episode: 1471: [-0.0277843   0.0086191   0.02734601  0.01518427  0.00366749] 
Episode: 1481: [-0.02776685  0.00859738  0.02740625  0.01540152  0.00342623] 
Episode: 1491: [-0.02776027  0.00859181  0.02746327  0.015505    0.00325417] 
Episode: 1501: [-0.02772644  0.00856059  0.02752222  0.0153992   0.00311061] 
Episode: 1511: [-0.02768615  0.00852844  0.02749466  0.01522287  0.00311118] 
Episode: 1521: [-0.02767118  0.00851393  0.02746828  0.01506976  0.00319531] 
Episode: 1531: [-0.02767102  0.00851801  0.02742618  0.01497319  0.00329854] 
Episode: 1541: [-0.02774434  0.00858474  0.02755699  0.01540021  0.00306907] 
Episode: 1551: [-0.02754966  0.00829739  0.02711188  0.01468519  0.00410134] 
Episode: 1561: [-0.02739717  0.00806323  0.02682314  0.01402399  0.00489908] 
Episode: 1571: [-0.02737729  0.00801328  0.02680379  0.01428309  0.00487666] 
Episode: 1581: [-0.0273518   0.00796259  0.02684425  0.01434721  0.00481817] 
Episode: 1591: [-0.02727463  0.00786643  0.0267988   0.01405066  0.00493501] 
Episode: 1601: [-0.02722838  0.00782201  0.02671586  0.01383218  0.00506431] 
Episode: 1611: [-0.0271245   0.00770405  0.02651277  0.01349999  0.00537925] 
Episode: 1621: [-0.02697146  0.00751545  0.02633868  0.01292538  0.00573814] 
Episode: 1631: [-0.02678475  0.00728577  0.02614393  0.01198839  0.00626645] 
Episode: 1641: [-0.02665607  0.00712268  0.02603353  0.01099287  0.0067922 ] 
Episode: 1651: [-0.02653224  0.00695124  0.02590184  0.01006292  0.00738997] 
Episode: 1661: [-0.02647349  0.00689432  0.02574676  0.01062134  0.00720585] 
Episode: 1671: [-0.02645447  0.00685799  0.02569649  0.01080886  0.00721898] 
Episode: 1681: [-0.02650112  0.00687612  0.02572028  0.01067582  0.00748728] 
Episode: 1691: [-0.02649488  0.0068532   0.02570421  0.0109253   0.00743951] 
Episode: 1701: [-0.0265123   0.00688254  0.02570336  0.0113659   0.0072035 ] 
Episode: 1711: [-0.02650013  0.00687442  0.02571565  0.01184332  0.00688507] 
Episode: 1721: [-0.02648646  0.00686661  0.02566882  0.01194664  0.00685098] 
Episode: 1731: [-0.02646942  0.00683343  0.02557996  0.011247    0.00739331] 
Episode: 1741: [-0.02645212  0.00677748  0.02557254  0.01043413  0.00795242] 
Episode: 1751: [-0.02647836  0.00680793  0.0255558   0.01021753  0.00814213] 
Episode: 1761: [-0.02648206  0.00680667  0.02554804  0.01007273  0.00826143] 
Episode: 1771: [-0.02649994  0.00683685  0.02551709  0.01031819  0.00817775] 
Episode: 1781: [-0.02643291  0.00673278  0.02552953  0.0100443   0.00828953] 
Episode: 1791: [-0.02641133  0.00668651  0.02557489  0.01001065  0.00828133] 
Episode: 1801: [-0.0264513   0.00672718  0.02564586  0.01022788  0.00814499] 
Episode: 1811: [-0.02654269  0.00681572  0.02575687  0.01088517  0.00785442] 
Episode: 1821: [-0.0265324   0.006779    0.02577267  0.01085722  0.00792911] 
Episode: 1831: [-0.02643308  0.00663684  0.02568231  0.01020194  0.00835859] 
Episode: 1841: [-0.02639107  0.00657005  0.02560131  0.00998204  0.00861078] 
Episode: 1851: [-0.02637029  0.00654294  0.02553103  0.00986309  0.00876675] 
Episode: 1861: [-0.0263689   0.0065463   0.02549303  0.00992444  0.00877504] 
Episode: 1871: [-0.02640141  0.00658807  0.0254959   0.0102036   0.00866578] 
Episode: 1881: [-0.02642943  0.00662587  0.02548829  0.01037139  0.00861931] 
Episode: 1891: [-0.02641409  0.00660145  0.0254544   0.01019571  0.00876893] 
Episode: 1901: [-0.026452    0.00665861  0.02543116  0.01041305  0.00870727] 
Episode: 1911: [-0.02643123  0.00662871  0.02545892  0.01039652  0.00865573] 
Episode: 1921: [-0.02649503  0.00671725  0.0255507   0.01079026  0.00834806] 
Episode: 1931: [-0.02660923  0.00688402  0.02562002  0.01141677  0.00796377] 
Episode: 1941: [-0.02664587  0.00694203  0.02562478  0.01138188  0.00797511] 
Episode: 1951: [-0.02664771  0.00694972  0.02560252  0.01134539  0.00801176] 
Episode: 1961: [-0.02656853  0.00682213  0.02563151  0.01063807  0.00834391] 
Episode: 1971: [-0.02654267  0.00678472  0.02564973  0.0105122   0.00836406] 
Episode: 1981: [-0.02655245  0.00679726  0.02566707  0.01061139  0.00829513] 
Episode: 1991: [-0.02655875  0.00682173  0.02564661  0.01090619  0.00811237] 
