Train Episode: 1	Loss: 16.588619	Accuracy: 0.360	 Current training data per class: 20
Train Episode: 2	Loss: 5.145947	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 3	Loss: 6479.158203	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 4	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 5	Loss: 6.953775	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 6	Loss: 2.385246	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 7	Loss: 15.805807	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 8	Loss: 13.600238	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 9	Loss: 29.746702	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 10	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 11	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 20
Train Episode: 12	Loss: 189.022812	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 13	Loss: 47.124435	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 20
Train Episode: 15	Loss: 201.718338	Accuracy: 0.190	 Current training data per class: 20
Train Episode: 16	Loss: 30.391579	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 17	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 20
Train Episode: 18	Loss: 69.249725	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 19	Loss: 154.192596	Accuracy: 0.200	 Current training data per class: 20
Train Episode: 20	Loss: 5.323279	Accuracy: 0.200	 Current training data per class: 20
