Train Episode: 1	Loss: 1.401340	Accuracy: 0.220	 Current training data per class: 160
Train Episode: 2	Loss: 1.635992	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 4	Loss: 1.370388	Accuracy: 0.400	 Current training data per class: 160
Train Episode: 5	Loss: 1.658836	Accuracy: 0.210	 Current training data per class: 160
Train Episode: 6	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 7	Loss: 2.011768	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 8	Loss: 1.624673	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 9	Loss: 1.640732	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 11	Loss: 2.605649	Accuracy: 0.140	 Current training data per class: 160
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 13	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 16	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 17	Loss: 1.737111	Accuracy: 0.200	 Current training data per class: 160
Train Episode: 18	Loss: 1.351926	Accuracy: 0.400	 Current training data per class: 160
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 160
