Train Episode: 1	Loss: 398011451139911270797410304.000000	Accuracy: 0.220	 Current training data per class: 40
Train Episode: 2	Loss: 9184159.000000	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 3	Loss: 19540225741692328726400860160.000000	Accuracy: 0.010	 Current training data per class: 40
Train Episode: 4	Loss: 34824.984375	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 5	Loss: 299210540843008.000000	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 6	Loss: 1882.055176	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 7	Loss: 505313263616.000000	Accuracy: 0.210	 Current training data per class: 40
Train Episode: 8	Loss: 1166.809326	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 9	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 40
Train Episode: 10	Loss: 3844.109375	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 11	Loss: 142176698368.000000	Accuracy: 0.070	 Current training data per class: 40
Train Episode: 12	Loss: 932.614441	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 13	Loss: 30584143872.000000	Accuracy: 0.160	 Current training data per class: 40
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 40
Train Episode: 15	Loss: 732.319092	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 16	Loss: 219733.765625	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 17	Loss: 1802.123901	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 18	Loss: 284571.906250	Accuracy: 0.400	 Current training data per class: 40
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 40
Train Episode: 20	Loss: 2131.187744	Accuracy: 0.200	 Current training data per class: 40
