Train Episode: 29	Loss: 4.329539	Accuracy: 0.000	Current Training Data Per Class 1: 27	Loss 2: 1.885741	Accuracy 2: 0.400	Current Training Data Per Class 2: 16	 Total loss: 3.107640	 Total Accuracy: 0.200
Train Episode: 30	Loss: 0.831080	Accuracy: 0.710	Current Training Data Per Class 1: 31	Loss 2: 8.028923	Accuracy 2: 0.000	Current Training Data Per Class 2: 18	 Total loss: 4.430001	 Total Accuracy: 0.355
Train Episode: 31	Loss: 7.176066	Accuracy: 0.000	Current Training Data Per Class 1: 9	Loss 2: 0.901435	Accuracy 2: 0.760	Current Training Data Per Class 2: 22	 Total loss: 4.038751	 Total Accuracy: 0.380
Train Episode: 32	Loss: 0.831060	Accuracy: 0.730	Current Training Data Per Class 1: 30	Loss 2: 7.142544	Accuracy 2: 0.000	Current Training Data Per Class 2: 22	 Total loss: 3.986802	 Total Accuracy: 0.365
Train Episode: 33	Loss: 0.578544	Accuracy: 0.820	Current Training Data Per Class 1: 28	Loss 2: 8.657424	Accuracy 2: 0.000	Current Training Data Per Class 2: 9	 Total loss: 4.617984	 Total Accuracy: 0.410
Train Episode: 34	Loss: 4.754271	Accuracy: 0.000	Current Training Data Per Class 1: 37	Loss 2: 1.307622	Accuracy 2: 0.660	Current Training Data Per Class 2: 21	 Total loss: 3.030946	 Total Accuracy: 0.330
Train Episode: 35	Loss: 1.188257	Accuracy: 0.590	Current Training Data Per Class 1: 13	Loss 2: 8.314040	Accuracy 2: 0.000	Current Training Data Per Class 2: 18	 Total loss: 4.751148	 Total Accuracy: 0.295
Train Episode: 36	Loss: 1.712013	Accuracy: 0.300	Current Training Data Per Class 1: 19	Loss 2: 9.253969	Accuracy 2: 0.000	Current Training Data Per Class 2: 17	 Total loss: 5.482991	 Total Accuracy: 0.150
Train Episode: 37	Loss: 5.311901	Accuracy: 0.000	Current Training Data Per Class 1: 28	Loss 2: 1.799439	Accuracy 2: 0.360	Current Training Data Per Class 2: 19	 Total loss: 3.555670	 Total Accuracy: 0.180
Train Episode: 38	Loss: 4.308501	Accuracy: 0.000	Current Training Data Per Class 1: 27	Loss 2: 2.891569	Accuracy 2: 0.310	Current Training Data Per Class 2: 10	 Total loss: 3.600035	 Total Accuracy: 0.155
Train Episode: 39	Loss: 1.602812	Accuracy: 0.430	Current Training Data Per Class 1: 17	Loss 2: 5.693632	Accuracy 2: 0.000	Current Training Data Per Class 2: 33	 Total loss: 3.648222	 Total Accuracy: 0.215
Train Episode: 40	Loss: 0.905196	Accuracy: 0.680	Current Training Data Per Class 1: 29	Loss 2: 8.261058	Accuracy 2: 0.000	Current Training Data Per Class 2: 6	 Total loss: 4.583127	 Total Accuracy: 0.340
Train Episode: 41	Loss: 1.409024	Accuracy: 0.460	Current Training Data Per Class 1: 27	Loss 2: 5.154966	Accuracy 2: 0.000	Current Training Data Per Class 2: 29	 Total loss: 3.281995	 Total Accuracy: 0.230
Train Episode: 42	Loss: 4.326181	Accuracy: 0.000	Current Training Data Per Class 1: 5	Loss 2: 3.784073	Accuracy 2: 0.190	Current Training Data Per Class 2: 39	 Total loss: 4.055127	 Total Accuracy: 0.095
Train Episode: 43	Loss: 4.852704	Accuracy: 0.000	Current Training Data Per Class 1: 35	Loss 2: 2.488453	Accuracy 2: 0.330	Current Training Data Per Class 2: 30	 Total loss: 3.670578	 Total Accuracy: 0.165
Train Episode: 44	Loss: 2.021770	Accuracy: 0.400	Current Training Data Per Class 1: 18	Loss 2: 8.427067	Accuracy 2: 0.000	Current Training Data Per Class 2: 19	 Total loss: 5.224419	 Total Accuracy: 0.200
Train Episode: 45	Loss: 4.025548	Accuracy: 0.000	Current Training Data Per Class 1: 18	Loss 2: 2.882934	Accuracy 2: 0.500	Current Training Data Per Class 2: 32	 Total loss: 3.454241	 Total Accuracy: 0.250
Train Episode: 46	Loss: 1.139823	Accuracy: 0.570	Current Training Data Per Class 1: 21	Loss 2: 7.993591	Accuracy 2: 0.000	Current Training Data Per Class 2: 9	 Total loss: 4.566707	 Total Accuracy: 0.285
Train Episode: 47	Loss: 4.700838	Accuracy: 0.000	Current Training Data Per Class 1: 15	Loss 2: 2.324288	Accuracy 2: 0.500	Current Training Data Per Class 2: 13	 Total loss: 3.512563	 Total Accuracy: 0.250
Train Episode: 48	Loss: 4.582531	Accuracy: 0.000	Current Training Data Per Class 1: 36	Loss 2: 2.732340	Accuracy 2: 0.340	Current Training Data Per Class 2: 39	 Total loss: 3.657436	 Total Accuracy: 0.170
Train Episode: 49	Loss: 7.633628	Accuracy: 0.000	Current Training Data Per Class 1: 19	Loss 2: 2.895159	Accuracy 2: 0.240	Current Training Data Per Class 2: 12	 Total loss: 5.264394	 Total Accuracy: 0.120
Train Episode: 50	Loss: 1.375519	Accuracy: 0.560	Current Training Data Per Class 1: 28	Loss 2: 6.794214	Accuracy 2: 0.000	Current Training Data Per Class 2: 20	 Total loss: 4.084867	 Total Accuracy: 0.280
