Train Episode: 1	Loss: 1.492078	Accuracy: 0.520	 Current training data per class: 225
Train Episode: 2	Loss: 2.968594	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 3	Loss: 1.956195	Accuracy: 0.180	 Current training data per class: 225
Train Episode: 4	Loss: 1.375780	Accuracy: 0.400	 Current training data per class: 225
Train Episode: 5	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 6	Loss: 1.625875	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 7	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 8	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 9	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 10	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 11	Loss: 2.093434	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 12	Loss: 1.939758	Accuracy: 0.400	 Current training data per class: 225
Train Episode: 13	Loss: 3.825618	Accuracy: 0.210	 Current training data per class: 225
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 16	Loss: 1.673063	Accuracy: 0.200	 Current training data per class: 225
Train Episode: 17	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 18	Loss: 1.349947	Accuracy: 0.400	 Current training data per class: 225
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 225
