Train Episode: 1	Loss: 1263329.875000	Accuracy: 0.210	 Current training data per class: 150
Train Episode: 2	Loss: 99.333855	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 3	Loss: 1067.104736	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 4	Loss: 95.093643	Accuracy: 0.400	 Current training data per class: 150
Train Episode: 5	Loss: 1100793728.000000	Accuracy: 0.060	 Current training data per class: 150
Train Episode: 6	Loss: 12779.156250	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 7	Loss: 49.259346	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 8	Loss: 2749.473145	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 9	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 150
Train Episode: 10	Loss: 3776.991943	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 11	Loss: 1419.448120	Accuracy: 0.170	 Current training data per class: 150
Train Episode: 12	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 150
Train Episode: 13	Loss: 19972703880478720.000000	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 14	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 150
Train Episode: 15	Loss: 67.058044	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 16	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 150
Train Episode: 17	Loss: 250.694000	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 18	Loss: 3.680468	Accuracy: 0.400	 Current training data per class: 150
Train Episode: 19	Loss: 20894527258624.000000	Accuracy: 0.200	 Current training data per class: 150
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 150
