Train Episode: 1	Loss: 36516796.000000	Accuracy: 0.280	 Current training data per class: 90
Train Episode: 2	Loss: 608.488037	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 4	Loss: 691.650146	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 5	Loss: 5644.814453	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 6	Loss: 600.097046	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 7	Loss: 4680.988770	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 8	Loss: 610.190735	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 9	Loss: 347.628784	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 10	Loss: 6529.964355	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 11	Loss: 16629.261719	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 12	Loss: 17368.898438	Accuracy: 0.400	 Current training data per class: 90
Train Episode: 13	Loss: 154.604233	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 14	Loss: 664.452515	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 15	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 16	Loss: 570.412476	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 17	Loss: 36066913234410218192896.000000	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 18	Loss: 9158881280.000000	Accuracy: 0.400	 Current training data per class: 90
Train Episode: 19	Loss: 3971.448730	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
