Train Episode: 1	Loss: 0.695173	Accuracy: 0.475	 Current training data: 20
Train Episode: 2	Loss: 0.701436	Accuracy: 0.500	 Current training data: 20
Train Episode: 3	Loss: 0.735133	Accuracy: 0.500	 Current training data: 20
Train Episode: 4	Loss: 0.695195	Accuracy: 0.525	 Current training data: 20
Train Episode: 5	Loss: 0.779244	Accuracy: 0.500	 Current training data: 20
Train Episode: 6	Loss: 0.800289	Accuracy: 0.500	 Current training data: 20
Train Episode: 7	Loss: 0.709331	Accuracy: 0.425	 Current training data: 20
Train Episode: 8	Loss: 0.700040	Accuracy: 0.450	 Current training data: 20
Train Episode: 9	Loss: 0.724207	Accuracy: 0.500	 Current training data: 20
Train Episode: 10	Loss: 0.696323	Accuracy: 0.525	 Current training data: 20
Train Episode: 11	Loss: 0.763086	Accuracy: 0.500	 Current training data: 20
Train Episode: 12	Loss: 0.730614	Accuracy: 0.500	 Current training data: 20
Train Episode: 13	Loss: 0.740770	Accuracy: 0.500	 Current training data: 20
Train Episode: 14	Loss: 0.699848	Accuracy: 0.525	 Current training data: 20
Train Episode: 15	Loss: 0.772880	Accuracy: 0.500	 Current training data: 20
Train Episode: 16	Loss: 0.721719	Accuracy: 0.500	 Current training data: 20
Train Episode: 17	Loss: 0.701707	Accuracy: 0.500	 Current training data: 20
Train Episode: 18	Loss: 0.705787	Accuracy: 0.500	 Current training data: 20
Train Episode: 19	Loss: 0.818155	Accuracy: 0.500	 Current training data: 20
Train Episode: 20	Loss: 0.698842	Accuracy: 0.525	 Current training data: 20
