Runner Episode: 1	Loss: 1.482592	Accuracy: 0.440 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 2.797986	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.602646	Accuracy: 0.140 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 2.822033	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 2.019237	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 2.916185	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 2.871006	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 2.639703	Accuracy: 0.310 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 2.055488	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 3.329197	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 2.239434	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 2.099375	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.250507	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 2.462810	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 2.507877	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 2.346665	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 2.280160	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 1.884522	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 2.364029	Accuracy: 0.280 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 2.559253	Accuracy: 0.200 	 Current Training Data Per Class: 5
