Episode: 1: [-0.00069999 -0.00069999 -0.00069999 -0.00069999  0.00069999] 
Episode: 11: [-0.00644901 -0.00667795 -0.00669097 -0.00635089  0.00667449] 
Episode: 21: [-0.01274564 -0.01301408 -0.01219128 -0.01153043  0.01266892] 
Episode: 31: [-0.01478656 -0.01471364 -0.00977655 -0.00888357  0.01146239] 
Episode: 41: [-0.01556424 -0.01855641 -0.01276149 -0.01129622  0.01209507] 
Episode: 51: [-0.01354179 -0.02057897 -0.01478394 -0.01331867  0.01007262] 
Episode: 61: [-0.0127654  -0.02135538 -0.01556033 -0.01409505  0.00929623] 
Episode: 71: [-0.01247116 -0.02164963 -0.01585456 -0.01438929  0.00900199] 
Episode: 81: [-0.01236082 -0.02175997 -0.0159649  -0.01449963  0.00889165] 
Episode: 91: [-0.01231979 -0.02180101 -0.01600594 -0.01454066  0.00885062] 
Episode: 101: [-0.01230463 -0.02181617 -0.0160211  -0.01455582  0.00883546] 
Episode: 111: [-0.01229906 -0.02182174 -0.01602667 -0.01456139  0.0088299 ] 
Episode: 121: [-0.01229702 -0.02182378 -0.01602871 -0.01456343  0.00882786] 
Episode: 131: [-0.01229628 -0.02182453 -0.01602945 -0.01456417  0.00882712] 
Episode: 141: [-0.01229601 -0.0218248  -0.01602972 -0.01456444  0.00882685] 
Episode: 151: [-0.01229591 -0.0218249  -0.01602982 -0.01456454  0.00882676] 
Episode: 161: [-0.01229588 -0.02182494 -0.01602985 -0.01456457  0.00882672] 
Episode: 171: [-0.01229587 -0.02182495 -0.01602987 -0.01456459  0.00882671] 
Episode: 181: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 191: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 201: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 211: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 221: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 231: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 241: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 251: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 261: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 271: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 281: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 291: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 301: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 311: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 321: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 331: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 341: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 351: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 361: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 371: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 381: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 391: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 401: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 411: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 421: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 431: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 441: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 451: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 461: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 471: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 481: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 491: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 501: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 511: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 521: [-0.01229586 -0.02182496 -0.01602987 -0.01456459  0.00882671] 
Episode: 531: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 541: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 551: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 561: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 571: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 581: [-0.01229586 -0.02182497 -0.01602987 -0.01456459  0.00882671] 
Episode: 591: [-0.01229586 -0.02182498 -0.01602987 -0.01456459  0.00882671] 
Episode: 601: [-0.01229586 -0.02182498 -0.01602987 -0.01456459  0.00882671] 
