Train Episode: 1	Loss: 48.889927	Accuracy: 0.340	 Current training data per class: 275
Train Episode: 2	Loss: 2.362658	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 3	Loss: 2.452588	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 4	Loss: 1.490519	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 5	Loss: 1.926237	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 6	Loss: 71663.531250	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 7	Loss: 11.896476	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 8	Loss: 3.973232	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 9	Loss: 2.354870	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 275
Train Episode: 11	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 275
Train Episode: 12	Loss: 2.169271	Accuracy: 0.400	 Current training data per class: 275
Train Episode: 13	Loss: 3.945471	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 14	Loss: 10.748844	Accuracy: 0.180	 Current training data per class: 275
Train Episode: 15	Loss: 1.861401	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 16	Loss: 2.029823	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 17	Loss: 105.424103	Accuracy: 0.190	 Current training data per class: 275
Train Episode: 18	Loss: 1.362323	Accuracy: 0.400	 Current training data per class: 275
Train Episode: 19	Loss: 2.485333	Accuracy: 0.200	 Current training data per class: 275
Train Episode: 20	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 275
