Train Episode: 1	Loss: 1.928773	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 2	Loss: 44.345177	Accuracy: 0.150	 Current training data per class: 50
Train Episode: 3	Loss: 1266415232.000000	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 4	Loss: 1219.471191	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 5	Loss: 913.170776	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 6	Loss: 87.545662	Accuracy: 0.310	 Current training data per class: 50
Train Episode: 7	Loss: 71.543030	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 8	Loss: 30.545898	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 9	Loss: 1252.703003	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 371.681488	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 18324190658560.000000	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 12	Loss: 1657443.875000	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 13	Loss: 50.321407	Accuracy: 0.340	 Current training data per class: 50
Train Episode: 14	Loss: 1818567040.000000	Accuracy: 0.160	 Current training data per class: 50
Train Episode: 15	Loss: 2.548654	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 16	Loss: 92.438698	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 17	Loss: 219676803072.000000	Accuracy: 0.170	 Current training data per class: 50
Train Episode: 18	Loss: 8.520509	Accuracy: 0.320	 Current training data per class: 50
Train Episode: 19	Loss: 1.611318	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 20	Loss: 76.068298	Accuracy: 0.240	 Current training data per class: 50
