Runner Episode: 1	Loss: 3.791737	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.798805	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.890569	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.793043	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.893489	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.794077	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.858050	Accuracy: 0.020 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.907295	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.725963	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.917145	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.860938	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.886685	Accuracy: 0.070 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.863484	Accuracy: 0.040 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.973974	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.938874	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.851865	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.874116	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.908270	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.966049	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.938889	Accuracy: 0.200 	 Current Training Data Per Class: 0
