Train Episode: 1	Loss: 1.343140	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 2	Loss: 9.056252	Accuracy: 0.180	 Current training data per class: 50
Train Episode: 3	Loss: 5.941216	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 4	Loss: 2.039044	Accuracy: 0.430	 Current training data per class: 50
Train Episode: 5	Loss: 1.688105	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 6	Loss: 1.656747	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 7	Loss: 1.782060	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 8	Loss: 1.628189	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 9	Loss: 1.661265	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 1.631458	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 1.627052	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 12	Loss: 1.583802	Accuracy: 0.240	 Current training data per class: 50
Train Episode: 13	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 14	Loss: 172.218033	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 15	Loss: 1.690295	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 16	Loss: 1.904530	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 17	Loss: 1.932573	Accuracy: 0.190	 Current training data per class: 50
Train Episode: 18	Loss: 1.324018	Accuracy: 0.410	 Current training data per class: 50
Train Episode: 19	Loss: 1.623392	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 20	Loss: 1.445096	Accuracy: 0.200	 Current training data per class: 50
