Train Episode: 1	Loss: 1.018191	Accuracy: 0.525	 Current training data: 350
Train Episode: 2	Loss: 1.228791	Accuracy: 0.465	 Current training data: 350
Train Episode: 3	Loss: 1.194499	Accuracy: 0.455	 Current training data: 350
Train Episode: 4	Loss: 1.533323	Accuracy: 0.480	 Current training data: 350
Train Episode: 5	Loss: 1.443839	Accuracy: 0.425	 Current training data: 350
Train Episode: 6	Loss: 1.395068	Accuracy: 0.325	 Current training data: 350
Train Episode: 7	Loss: 1.294815	Accuracy: 0.390	 Current training data: 350
Train Episode: 8	Loss: 1.723332	Accuracy: 0.340	 Current training data: 350
Train Episode: 9	Loss: 1.480439	Accuracy: 0.370	 Current training data: 350
Train Episode: 10	Loss: 1.334095	Accuracy: 0.395	 Current training data: 350
Train Episode: 11	Loss: 1.218073	Accuracy: 0.450	 Current training data: 350
Train Episode: 12	Loss: 1.165722	Accuracy: 0.500	 Current training data: 350
Train Episode: 13	Loss: 3.777819	Accuracy: 0.435	 Current training data: 350
Train Episode: 14	Loss: 0.976245	Accuracy: 0.530	 Current training data: 350
Train Episode: 15	Loss: 1.545161	Accuracy: 0.515	 Current training data: 350
Train Episode: 16	Loss: 1.514429	Accuracy: 0.565	 Current training data: 350
Train Episode: 17	Loss: 1.373783	Accuracy: 0.355	 Current training data: 350
Train Episode: 18	Loss: 1.458783	Accuracy: 0.375	 Current training data: 350
Train Episode: 19	Loss: 1.024265	Accuracy: 0.550	 Current training data: 350
Train Episode: 20	Loss: 1.386829	Accuracy: 0.360	 Current training data: 350
