Runner Episode: 1	Loss: 3.050815	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 2	Loss: 4.600569	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 3	Loss: 2.571035	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 4	Loss: 4.802410	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 5	Loss: 3.450908	Accuracy: 0.400 	 Current Training Data Per Class: 5
Runner Episode: 6	Loss: 4.559520	Accuracy: 0.010 	 Current Training Data Per Class: 5
Runner Episode: 7	Loss: 3.993952	Accuracy: 0.200 	 Current Training Data Per Class: 5
Runner Episode: 8	Loss: 3.181332	Accuracy: 0.210 	 Current Training Data Per Class: 5
Runner Episode: 9	Loss: 3.694968	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 10	Loss: 4.166613	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 11	Loss: 3.453575	Accuracy: 0.050 	 Current Training Data Per Class: 5
Runner Episode: 12	Loss: 3.380467	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 13	Loss: 2.674379	Accuracy: 0.230 	 Current Training Data Per Class: 5
Runner Episode: 14	Loss: 3.296579	Accuracy: 0.080 	 Current Training Data Per Class: 5
Runner Episode: 15	Loss: 3.468411	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 16	Loss: 3.885561	Accuracy: 0.180 	 Current Training Data Per Class: 5
Runner Episode: 17	Loss: 3.761323	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 18	Loss: 4.482570	Accuracy: 0.000 	 Current Training Data Per Class: 5
Runner Episode: 19	Loss: 3.511981	Accuracy: 0.050 	 Current Training Data Per Class: 5
Runner Episode: 20	Loss: 3.931864	Accuracy: 0.200 	 Current Training Data Per Class: 5
