Train Episode: 1	Loss: 1.408191	Accuracy: 0.370	 Current training data: 70
Train Episode: 2	Loss: 1.396886	Accuracy: 0.550	 Current training data: 70
Train Episode: 3	Loss: 1.401973	Accuracy: 0.510	 Current training data: 70
Train Episode: 4	Loss: 1.367468	Accuracy: 0.550	 Current training data: 70
Train Episode: 5	Loss: 1.170870	Accuracy: 0.430	 Current training data: 70
Train Episode: 6	Loss: 1.267817	Accuracy: 0.410	 Current training data: 70
Train Episode: 7	Loss: 1.313440	Accuracy: 0.430	 Current training data: 70
Train Episode: 8	Loss: 1.535485	Accuracy: 0.330	 Current training data: 70
Train Episode: 9	Loss: 1.301397	Accuracy: 0.430	 Current training data: 70
Train Episode: 10	Loss: 1.231179	Accuracy: 0.510	 Current training data: 70
Train Episode: 11	Loss: 1.544187	Accuracy: 0.240	 Current training data: 70
Train Episode: 12	Loss: 0.846571	Accuracy: 0.570	 Current training data: 70
Train Episode: 13	Loss: 1.401435	Accuracy: 0.280	 Current training data: 70
Train Episode: 14	Loss: 1.027300	Accuracy: 0.660	 Current training data: 70
Train Episode: 15	Loss: 1.314153	Accuracy: 0.290	 Current training data: 70
Train Episode: 16	Loss: 1.163120	Accuracy: 0.480	 Current training data: 70
Train Episode: 17	Loss: 1.381306	Accuracy: 0.380	 Current training data: 70
Train Episode: 18	Loss: 1.296932	Accuracy: 0.460	 Current training data: 70
Train Episode: 19	Loss: 1.436359	Accuracy: 0.310	 Current training data: 70
Train Episode: 20	Loss: 1.501997	Accuracy: 0.360	 Current training data: 70
