Train Episode: 1	Loss: 0.670876	Accuracy: 0.770	 Current training data: 160
Train Episode: 2	Loss: 0.865918	Accuracy: 0.730	 Current training data: 160
Train Episode: 3	Loss: 0.409071	Accuracy: 0.900	 Current training data: 160
Train Episode: 4	Loss: 0.195274	Accuracy: 0.950	 Current training data: 160
Train Episode: 5	Loss: 0.565152	Accuracy: 0.900	 Current training data: 160
Train Episode: 6	Loss: 0.565184	Accuracy: 0.830	 Current training data: 160
Train Episode: 7	Loss: 0.588673	Accuracy: 0.860	 Current training data: 160
Train Episode: 8	Loss: 0.775515	Accuracy: 0.700	 Current training data: 160
Train Episode: 9	Loss: 0.677665	Accuracy: 0.690	 Current training data: 160
Train Episode: 10	Loss: 0.579390	Accuracy: 0.760	 Current training data: 160
Train Episode: 11	Loss: 0.491762	Accuracy: 0.930	 Current training data: 160
Train Episode: 12	Loss: 0.516774	Accuracy: 0.850	 Current training data: 160
Train Episode: 13	Loss: 0.483955	Accuracy: 0.860	 Current training data: 160
Train Episode: 14	Loss: 0.982989	Accuracy: 0.580	 Current training data: 160
Train Episode: 15	Loss: 2.161206	Accuracy: 0.840	 Current training data: 160
Train Episode: 16	Loss: 0.204843	Accuracy: 0.940	 Current training data: 160
Train Episode: 17	Loss: 0.370523	Accuracy: 0.850	 Current training data: 160
Train Episode: 18	Loss: 0.413022	Accuracy: 0.930	 Current training data: 160
Train Episode: 19	Loss: 0.129316	Accuracy: 0.970	 Current training data: 160
Train Episode: 20	Loss: 0.892389	Accuracy: 0.720	 Current training data: 160
