Train Episode: 1	Loss: 1.238262	Accuracy: 0.490	 Current training data: 100
Train Episode: 2	Loss: 1.291094	Accuracy: 0.460	 Current training data: 100
Train Episode: 3	Loss: 1.052822	Accuracy: 0.535	 Current training data: 100
Train Episode: 4	Loss: 0.970276	Accuracy: 0.585	 Current training data: 100
Train Episode: 5	Loss: 1.427348	Accuracy: 0.430	 Current training data: 100
Train Episode: 6	Loss: 1.747146	Accuracy: 0.345	 Current training data: 100
Train Episode: 7	Loss: 1.488918	Accuracy: 0.570	 Current training data: 100
Train Episode: 8	Loss: 1.792042	Accuracy: 0.530	 Current training data: 100
Train Episode: 9	Loss: 1.005338	Accuracy: 0.625	 Current training data: 100
Train Episode: 10	Loss: 0.984696	Accuracy: 0.590	 Current training data: 100
Train Episode: 11	Loss: 0.990656	Accuracy: 0.610	 Current training data: 100
Train Episode: 12	Loss: 1.314830	Accuracy: 0.510	 Current training data: 100
Train Episode: 13	Loss: 0.833440	Accuracy: 0.660	 Current training data: 100
Train Episode: 14	Loss: 1.017981	Accuracy: 0.605	 Current training data: 100
Train Episode: 15	Loss: 1.003783	Accuracy: 0.635	 Current training data: 100
Train Episode: 16	Loss: 1.041917	Accuracy: 0.660	 Current training data: 100
Train Episode: 17	Loss: 1.192438	Accuracy: 0.570	 Current training data: 100
Train Episode: 18	Loss: 1.327774	Accuracy: 0.525	 Current training data: 100
Train Episode: 19	Loss: 0.922701	Accuracy: 0.545	 Current training data: 100
Train Episode: 20	Loss: 1.367444	Accuracy: 0.410	 Current training data: 100
