Train Episode: 1	Loss: 1074483712.000000	Accuracy: 0.230	 Current training data per class: 30
Train Episode: 2	Loss: 267271888.000000	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 3	Loss: 2463.638672	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 4	Loss: 5378.982422	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 5	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 30
Train Episode: 6	Loss: 24207.517578	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 7	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 30
Train Episode: 8	Loss: 3.773145	Accuracy: 0.220	 Current training data per class: 30
Train Episode: 9	Loss: 2581.450195	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 10	Loss: 833.278687	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 11	Loss: 13203.496094	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 12	Loss: 155224.671875	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 13	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 14	Loss: 5482.888184	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 15	Loss: 7722.072266	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 16	Loss: 2825.196289	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 17	Loss: 3640.967529	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 18	Loss: 77764.093750	Accuracy: 0.400	 Current training data per class: 30
Train Episode: 19	Loss: 4856.611328	Accuracy: 0.200	 Current training data per class: 30
Train Episode: 20	Loss: 4156.231445	Accuracy: 0.400	 Current training data per class: 30
