Episode: 1051: [-0.08469292 -0.10143745  0.09479763] 
Episode: 1061: [-0.08535445 -0.10225582  0.0956094 ] 
Episode: 1071: [-0.08594349 -0.10310212  0.09639816] 
Episode: 1081: [-0.08675777 -0.10393296  0.09729855] 
Episode: 1091: [-0.08705701 -0.10432687  0.09767909] 
Episode: 1101: [-0.08727603 -0.10473347  0.09802397] 
Episode: 1111: [-0.08769574 -0.10513861  0.0984752 ] 
Episode: 1121: [-0.08828285 -0.10554667  0.09901746] 
Episode: 1131: [-0.08835562 -0.10580748  0.09920252] 
Episode: 1141: [-0.08881021 -0.10612259  0.09962196] 
Episode: 1151: [-0.08931015 -0.10658567  0.10014859] 
Episode: 1161: [-0.08932988 -0.10715913  0.10048059] 
Episode: 1171: [-0.08904832 -0.10755457  0.10055179] 
Episode: 1181: [-0.08912716 -0.10790145  0.10078839] 
Episode: 1191: [-0.08936651 -0.10819541  0.10108113] 
Episode: 1201: [-0.08939422 -0.10850322  0.10126847] 
Episode: 1211: [-0.08982491 -0.10896167  0.10175589] 
Episode: 1221: [-0.09015381 -0.10943495  0.10219724] 
Episode: 1231: [-0.09050504 -0.10946483  0.10240205] 
Episode: 1241: [-0.09043045 -0.10967037  0.10247726] 
Episode: 1251: [-0.09040337 -0.11033572  0.10283572] 
Episode: 1261: [-0.09107231 -0.1108117   0.10346114] 
Episode: 1271: [-0.09138405 -0.11101234  0.1037407 ] 
Episode: 1281: [-0.09170492 -0.10993903  0.10328274] 
Episode: 1291: [-0.09245802 -0.10661267  0.10173591] 
Episode: 1301: [-0.09195437 -0.10579885  0.10098656] 
Episode: 1311: [-0.09136909 -0.10610924  0.10085315] 
Episode: 1321: [-0.0900304  -0.10664535  0.10044546] 
Episode: 1331: [-0.08866398 -0.10705166  0.09994628] 
Episode: 1341: [-0.08742864 -0.10727744  0.09941156] 
Episode: 1351: [-0.08698211 -0.1077727   0.09946105] 
Episode: 1361: [-0.08679435 -0.10823914  0.0996334 ] 
Episode: 1371: [-0.08647386 -0.10870964  0.09973641] 
Episode: 1381: [-0.08653811 -0.1091164   0.1000099 ] 
Episode: 1391: [-0.08703052 -0.10981026  0.10068323] 
Episode: 1401: [-0.08729701 -0.11046632  0.10121232] 
Episode: 1411: [-0.08769236 -0.11100013  0.10173929] 
Episode: 1421: [-0.08834843 -0.11148048  0.10237579] 
Episode: 1431: [-0.08890591 -0.11193844  0.10294592] 
Episode: 1441: [-0.08926097 -0.11233874  0.10337286] 
Episode: 1451: [-0.08990427 -0.11281189  0.1039985 ] 
Episode: 1461: [-0.09008484 -0.11308204  0.10425468] 
Episode: 1471: [-0.09626717 -0.11309966  0.10818997] 
Episode: 1481: [-0.09869836 -0.11347063  0.10993215] 
Episode: 1491: [-0.09837229 -0.11333356  0.10965148] 
Episode: 1501: [-0.09744631 -0.11364445  0.10923079] 
Episode: 1511: [-0.09665404 -0.11409038  0.10896757] 
Episode: 1521: [-0.09558105 -0.11449876  0.10850582] 
Episode: 1531: [-0.0946121  -0.11504503  0.10818428] 
Episode: 1541: [-0.0934374  -0.11555153  0.10771056] 
Episode: 1551: [-0.09239908 -0.11589808  0.10723744] 
Episode: 1561: [-0.09130631 -0.11623838  0.10672633] 
Episode: 1571: [-0.09019425 -0.11644129  0.10612902] 
Episode: 1581: [-0.08906577 -0.11683259  0.10562249] 
Episode: 1591: [-0.08813773 -0.11706733  0.10515907] 
Episode: 1601: [-0.08756459 -0.11738583  0.10496619] 
Episode: 1611: [-0.08708655 -0.11786094  0.10491797] 
Episode: 1621: [-0.08658189 -0.11855262  0.10496934] 
Episode: 1631: [-0.08628998 -0.11901192  0.10503097] 
Episode: 1641: [-0.08610191 -0.11925548  0.10504251] 
Episode: 1651: [-0.08582301 -0.11956643  0.1050326 ] 
Episode: 1661: [-0.08554788 -0.1202217   0.10521037] 
Episode: 1671: [-0.08553202 -0.12100004  0.10561913] 
Episode: 1681: [-0.08555623 -0.12149026  0.10589827] 
Episode: 1691: [-0.08603748 -0.12217639  0.10657341] 
Episode: 1701: [-0.08665352 -0.12319884  0.10751528] 
Episode: 1711: [-0.08664303 -0.12425841  0.10807888] 
Episode: 1721: [-0.08695029 -0.12499321  0.10866976] 
Episode: 1731: [-0.08648662 -0.12594783  0.10888865] 
Episode: 1741: [-0.08669018 -0.12624946  0.10918079] 
Episode: 1751: [-0.08675917 -0.12649041  0.1093545 ] 
Episode: 1761: [-0.08718775 -0.12664326  0.10970993] 
Episode: 1771: [-0.08708072 -0.12682648  0.10974035] 
Episode: 1781: [-0.08720104 -0.1267981   0.10980178] 
Episode: 1791: [-0.08777649 -0.12710926  0.11033638] 
Episode: 1801: [-0.0878926  -0.1275937   0.11067135] 
Episode: 1811: [-0.08816162 -0.12816003  0.11114799] 
Episode: 1821: [-0.08858302 -0.12899996  0.11186925] 
Episode: 1831: [-0.08914003 -0.1299613   0.11274257] 
Episode: 1841: [-0.08966585 -0.13071845  0.11348607] 
Episode: 1851: [-0.08973859 -0.1314342   0.11391798] 
Episode: 1861: [-0.09050895 -0.13171026  0.11455934] 
Episode: 1871: [-0.09088411 -0.13207325  0.11499474] 
Episode: 1881: [-0.09166486 -0.13264652  0.11580298] 
Episode: 1891: [-0.09234158 -0.13354853  0.11672164] 
Episode: 1901: [-0.09326202 -0.13451588  0.11783144] 
Episode: 1911: [-0.09398224 -0.13473226  0.11840908] 
Episode: 1921: [-0.09424623 -0.13510521  0.11877885] 
Episode: 1931: [-0.09407996 -0.13526179  0.1187566 ] 
Episode: 1941: [-0.09426423 -0.13539962  0.11894891] 
Episode: 1951: [-0.09454745 -0.13555473  0.11921405] 
Episode: 1961: [-0.09518651 -0.13604304  0.11988681] 
Episode: 1971: [-0.09484787 -0.13680217  0.12007793] 
Episode: 1981: [-0.0947817  -0.13742898  0.12037266] 
Episode: 1991: [-0.09530596 -0.1379184   0.1209728 ] 
Episode: 2001: [-0.09533139 -0.13861924  0.12136611] 
Episode: 2011: [-0.09619689 -0.13898532  0.12211995] 
Episode: 2021: [-0.09688005 -0.13952638  0.12285069] 
Episode: 2031: [-0.09731831 -0.14016376  0.12347563] 
Episode: 2041: [-0.09806819 -0.14063527  0.12421278] 
Episode: 2051: [-0.09750611 -0.14127123  0.12419192] 
Episode: 2061: [-0.09722196 -0.14150266  0.12413297] 
Episode: 2071: [-0.09810945 -0.14144625  0.12467622] 
Episode: 2081: [-0.09768018 -0.14209555  0.12474784] 
Episode: 2091: [-0.09773993 -0.14184484  0.12465128] 
Episode: 2101: [-0.09781276 -0.1422662   0.1249254 ] 
Episode: 2111: [-0.09775026 -0.14287348  0.12521188] 
Episode: 2121: [-0.09805283 -0.14287195  0.12540714] 
Episode: 2131: [-0.09797332 -0.14344117  0.12566228] 
Episode: 2141: [-0.09828681 -0.14366397  0.1259858 ] 
Episode: 2151: [-0.09742802 -0.14443526  0.12584373] 
Episode: 2161: [-0.09686566 -0.14431332  0.12541209] 
Episode: 2171: [-0.09721629 -0.14444908  0.12571315] 
Episode: 2181: [-0.09727169 -0.14529558  0.12620676] 
