Train Episode: 1	Loss: 264807376.000000	Accuracy: 0.230	 Current training data per class: 80
Train Episode: 2	Loss: 11656.137695	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 80
Train Episode: 4	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 5	Loss: 102613.796875	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 6	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 7	Loss: 164226.156250	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 8	Loss: 23435.560547	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 9	Loss: 13756.391602	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 80
Train Episode: 11	Loss: 5788.924805	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 12	Loss: 498093.687500	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 13	Loss: 7528.839355	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 14	Loss: 134855.859375	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 15	Loss: 405058.906250	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 16	Loss: 16499.302734	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 17	Loss: 16749.619141	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 18	Loss: 718420864.000000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 19	Loss: 9835.035156	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 20	Loss: 2586777.500000	Accuracy: 0.200	 Current training data per class: 80
