Train Episode: 1	Loss: 1.066715	Accuracy: 0.590	 Current training data per class: 70
Train Episode: 2	Loss: 1.623109	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 3	Loss: 1.620779	Accuracy: 0.210	 Current training data per class: 70
Train Episode: 4	Loss: 1.313954	Accuracy: 0.340	 Current training data per class: 70
Train Episode: 5	Loss: 1.625993	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 6	Loss: 1.667405	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 7	Loss: 1.575885	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 8	Loss: 1.616536	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 9	Loss: 1.748728	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 10	Loss: 1.644891	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 11	Loss: 21.453798	Accuracy: 0.230	 Current training data per class: 70
Train Episode: 12	Loss: 105.025566	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 13	Loss: 1.631346	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 14	Loss: 1.623112	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 15	Loss: 1.820921	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 16	Loss: 1.650986	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 17	Loss: 1.619519	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 18	Loss: 1.875907	Accuracy: 0.340	 Current training data per class: 70
Train Episode: 19	Loss: 3.920313	Accuracy: 0.200	 Current training data per class: 70
Train Episode: 20	Loss: 4.278578	Accuracy: 0.270	 Current training data per class: 70
