Runner Episode: 1	Loss: 3.774735	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 2	Loss: 3.821160	Accuracy: 0.010 	 Current Training Data Per Class: 0
Runner Episode: 3	Loss: 3.887964	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 4	Loss: 3.774632	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 5	Loss: 3.920920	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 6	Loss: 3.806191	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 7	Loss: 3.876527	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 8	Loss: 3.923076	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 9	Loss: 3.759041	Accuracy: 0.200 	 Current Training Data Per Class: 0
Runner Episode: 10	Loss: 3.930103	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 11	Loss: 3.883409	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 12	Loss: 3.901490	Accuracy: 0.050 	 Current Training Data Per Class: 0
Runner Episode: 13	Loss: 3.849289	Accuracy: 0.030 	 Current Training Data Per Class: 0
Runner Episode: 14	Loss: 3.978707	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 15	Loss: 3.890709	Accuracy: 0.060 	 Current Training Data Per Class: 0
Runner Episode: 16	Loss: 3.790066	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 17	Loss: 3.877427	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 18	Loss: 3.919058	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 19	Loss: 3.997907	Accuracy: 0.000 	 Current Training Data Per Class: 0
Runner Episode: 20	Loss: 3.951444	Accuracy: 0.200 	 Current Training Data Per Class: 0
