Train Episode: 1	Loss: 0.988770	Accuracy: 0.680	 Current training data: 80
Train Episode: 2	Loss: 0.839859	Accuracy: 0.690	 Current training data: 80
Train Episode: 3	Loss: 1.397576	Accuracy: 0.260	 Current training data: 80
Train Episode: 4	Loss: 0.647920	Accuracy: 0.790	 Current training data: 80
Train Episode: 5	Loss: 1.333247	Accuracy: 0.390	 Current training data: 80
Train Episode: 6	Loss: 0.948614	Accuracy: 0.700	 Current training data: 80
Train Episode: 7	Loss: 0.747239	Accuracy: 0.720	 Current training data: 80
Train Episode: 8	Loss: 1.102672	Accuracy: 0.480	 Current training data: 80
Train Episode: 9	Loss: 0.690377	Accuracy: 0.840	 Current training data: 80
Train Episode: 10	Loss: 0.857670	Accuracy: 0.640	 Current training data: 80
Train Episode: 11	Loss: 0.859212	Accuracy: 0.700	 Current training data: 80
Train Episode: 12	Loss: 1.009091	Accuracy: 0.600	 Current training data: 80
Train Episode: 13	Loss: 1.040027	Accuracy: 0.660	 Current training data: 80
Train Episode: 14	Loss: 0.910863	Accuracy: 0.650	 Current training data: 80
Train Episode: 15	Loss: 0.707960	Accuracy: 0.690	 Current training data: 80
Train Episode: 16	Loss: 1.069860	Accuracy: 0.640	 Current training data: 80
Train Episode: 17	Loss: 1.234701	Accuracy: 0.440	 Current training data: 80
Train Episode: 18	Loss: 1.152900	Accuracy: 0.490	 Current training data: 80
Train Episode: 19	Loss: 0.823993	Accuracy: 0.740	 Current training data: 80
Train Episode: 20	Loss: 0.763592	Accuracy: 0.700	 Current training data: 80
