Train Episode: 1	Loss: 1.570508	Accuracy: 0.380	 Current training data per class: 100
Train Episode: 2	Loss: 1.638444	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 3	Loss: 3.850148	Accuracy: 0.180	 Current training data per class: 100
Train Episode: 4	Loss: 1.340020	Accuracy: 0.400	 Current training data per class: 100
Train Episode: 5	Loss: 1.699676	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 6	Loss: 1.531748	Accuracy: 0.270	 Current training data per class: 100
Train Episode: 7	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 100
Train Episode: 8	Loss: 1.619785	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 9	Loss: 1.646203	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 10	Loss: 1.674015	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 11	Loss: 1.639652	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 12	Loss: 1.390292	Accuracy: 0.400	 Current training data per class: 100
Train Episode: 13	Loss: 1.615180	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 14	Loss: 1.865467	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 15	Loss: 1.614910	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 16	Loss: 1.667048	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 17	Loss: 1.413108	Accuracy: 0.370	 Current training data per class: 100
Train Episode: 18	Loss: 1.364032	Accuracy: 0.400	 Current training data per class: 100
Train Episode: 19	Loss: 1.650057	Accuracy: 0.200	 Current training data per class: 100
Train Episode: 20	Loss: 1.350638	Accuracy: 0.400	 Current training data per class: 100
