Train Episode: 1	Loss: 13140.639648	Accuracy: 0.400	 Current training data per class: 50
Train Episode: 2	Loss: 16811.162109	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 3	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 50
Train Episode: 4	Loss: 556512.125000	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 5	Loss: 108181.406250	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 6	Loss: 58847.800781	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 7	Loss: 15015.443359	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 8	Loss: 22492.964844	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 9	Loss: 26706.279297	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 10	Loss: 176446.437500	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 11	Loss: 38369.085938	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 12	Loss: 118681.562500	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 13	Loss: 14390.063477	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 14	Loss: 72122.906250	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 15	Loss: 32745.792969	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 16	Loss: 17920.138672	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 17	Loss: 3414.290283	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 18	Loss: 4350756352.000000	Accuracy: 0.280	 Current training data per class: 50
Train Episode: 19	Loss: 15370.117188	Accuracy: 0.200	 Current training data per class: 50
Train Episode: 20	Loss: 21217.744141	Accuracy: 0.200	 Current training data per class: 50
