Train Episode: 1	Loss: 294176.906250	Accuracy: 0.170	 Current training data per class: 300
Train Episode: 2	Loss: 71836.164062	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 3	Loss: 136001.046875	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 4	Loss: 14864.486328	Accuracy: 0.400	 Current training data per class: 300
Train Episode: 5	Loss: 6266.290527	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 6	Loss: 7643.879883	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 7	Loss: 21185.707031	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 8	Loss: 13692.880859	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 9	Loss: 13791.994141	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 300
Train Episode: 11	Loss: 26014.015625	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 12	Loss: 8431.959961	Accuracy: 0.400	 Current training data per class: 300
Train Episode: 13	Loss: 47241.281250	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 14	Loss: 5459.853516	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 15	Loss: 19348.824219	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 16	Loss: 14643.335938	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 17	Loss: 11887204.000000	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 18	Loss: 15298.572266	Accuracy: 0.400	 Current training data per class: 300
Train Episode: 19	Loss: 6902.955078	Accuracy: 0.200	 Current training data per class: 300
Train Episode: 20	Loss: 11719.665039	Accuracy: 0.200	 Current training data per class: 300
