Train Episode: 1	Loss: 1.487588	Accuracy: 0.490	 Current training data: 70
Train Episode: 2	Loss: 1.582918	Accuracy: 0.200	 Current training data: 70
Train Episode: 3	Loss: 1.453370	Accuracy: 0.340	 Current training data: 70
Train Episode: 4	Loss: 1.532728	Accuracy: 0.440	 Current training data: 70
Train Episode: 5	Loss: 1.438015	Accuracy: 0.420	 Current training data: 70
Train Episode: 6	Loss: 1.492383	Accuracy: 0.350	 Current training data: 70
Train Episode: 7	Loss: 1.509055	Accuracy: 0.240	 Current training data: 70
Train Episode: 8	Loss: 1.552980	Accuracy: 0.390	 Current training data: 70
Train Episode: 9	Loss: 1.548217	Accuracy: 0.290	 Current training data: 70
Train Episode: 10	Loss: 1.517370	Accuracy: 0.240	 Current training data: 70
Train Episode: 11	Loss: 1.563043	Accuracy: 0.270	 Current training data: 70
Train Episode: 12	Loss: 0.953428	Accuracy: 0.550	 Current training data: 70
Train Episode: 13	Loss: 1.190635	Accuracy: 0.510	 Current training data: 70
Train Episode: 14	Loss: 1.067506	Accuracy: 0.620	 Current training data: 70
Train Episode: 15	Loss: 1.452620	Accuracy: 0.280	 Current training data: 70
Train Episode: 16	Loss: 1.331675	Accuracy: 0.460	 Current training data: 70
Train Episode: 17	Loss: 1.499127	Accuracy: 0.330	 Current training data: 70
Train Episode: 18	Loss: 1.489766	Accuracy: 0.450	 Current training data: 70
Train Episode: 19	Loss: 1.494648	Accuracy: 0.310	 Current training data: 70
Train Episode: 20	Loss: 1.587139	Accuracy: 0.350	 Current training data: 70
