Train Episode: 1	Loss: 29344.722656	Accuracy: 0.400	 Current training data per class: 80
Train Episode: 2	Loss: 33648.511719	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 3	Loss: 63952.539062	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 4	Loss: 34178.023438	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 5	Loss: 471424.093750	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 6	Loss: 3.850148	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 7	Loss: 2369367.250000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 8	Loss: 109053.656250	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 9	Loss: 155745.781250	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 10	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 80
Train Episode: 11	Loss: 22241.480469	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 12	Loss: 2368092.750000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 13	Loss: 22622.921875	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 14	Loss: 199500.187500	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 15	Loss: 2245075.250000	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 16	Loss: 39206.828125	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 17	Loss: 120112.218750	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 18	Loss: 15776.281250	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 19	Loss: 174931.796875	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 20	Loss: 1937496.750000	Accuracy: 0.200	 Current training data per class: 80
