Train Episode: 1	Loss: 0.501497	Accuracy: 0.930	 Current training data: 60
Train Episode: 2	Loss: 1.432744	Accuracy: 0.710	 Current training data: 60
Train Episode: 3	Loss: 1.486442	Accuracy: 0.860	 Current training data: 60
Train Episode: 4	Loss: 0.472872	Accuracy: 0.880	 Current training data: 60
Train Episode: 5	Loss: 0.208998	Accuracy: 0.940	 Current training data: 60
Train Episode: 6	Loss: 0.485334	Accuracy: 0.870	 Current training data: 60
Train Episode: 7	Loss: 0.832369	Accuracy: 0.910	 Current training data: 60
Train Episode: 8	Loss: 0.723494	Accuracy: 0.920	 Current training data: 60
Train Episode: 9	Loss: 0.726758	Accuracy: 0.820	 Current training data: 60
Train Episode: 10	Loss: 0.725816	Accuracy: 0.800	 Current training data: 60
Train Episode: 11	Loss: 0.858291	Accuracy: 0.810	 Current training data: 60
Train Episode: 12	Loss: 0.544908	Accuracy: 0.920	 Current training data: 60
Train Episode: 13	Loss: 0.586395	Accuracy: 0.790	 Current training data: 60
Train Episode: 14	Loss: 0.940157	Accuracy: 0.830	 Current training data: 60
Train Episode: 15	Loss: 0.151536	Accuracy: 0.960	 Current training data: 60
Train Episode: 16	Loss: 1.056431	Accuracy: 0.850	 Current training data: 60
Train Episode: 17	Loss: 0.590140	Accuracy: 0.900	 Current training data: 60
Train Episode: 18	Loss: 0.675433	Accuracy: 0.890	 Current training data: 60
Train Episode: 19	Loss: 0.638954	Accuracy: 0.890	 Current training data: 60
Train Episode: 20	Loss: 0.473055	Accuracy: 0.880	 Current training data: 60
