Train Episode: 1	Loss: 167.434357	Accuracy: 0.140	 Current training data per class: 90
Train Episode: 2	Loss: 1.689502	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 3	Loss: 1.618104	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 4	Loss: 1.365804	Accuracy: 0.400	 Current training data per class: 90
Train Episode: 5	Loss: 1.635270	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 6	Loss: 1.616963	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 7	Loss: 1.924697	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 8	Loss: 1.643607	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 9	Loss: 1.636252	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 10	Loss: 1.622452	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 11	Loss: 1.924783	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 12	Loss: 3.850144	Accuracy: 0.010	 Current training data per class: 90
Train Episode: 13	Loss: 1.643271	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 14	Loss: 3.850148	Accuracy: 0.030	 Current training data per class: 90
Train Episode: 15	Loss: 3.692091	Accuracy: 0.190	 Current training data per class: 90
Train Episode: 16	Loss: 1.629078	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 17	Loss: 1.781369	Accuracy: 0.200	 Current training data per class: 90
Train Episode: 18	Loss: 1.358684	Accuracy: 0.400	 Current training data per class: 90
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 90
Train Episode: 20	Loss: 1.419327	Accuracy: 0.200	 Current training data per class: 90
