Train Episode: 45	Loss: 0.455383	Accuracy: 0.860	MetaParam_1: 0.018243	MetaParam_2: -0.025789	MetaParam_3: 0.009245
Train Episode: 46	Loss: 1.009541	Accuracy: 0.600	MetaParam_1: 0.018392	MetaParam_2: -0.026276	MetaParam_3: 0.009381
Train Episode: 47	Loss: 1.662394	Accuracy: 0.440	MetaParam_1: 0.018524	MetaParam_2: -0.026766	MetaParam_3: 0.009544
Train Episode: 48	Loss: 0.792390	Accuracy: 0.700	MetaParam_1: 0.018619	MetaParam_2: -0.027206	MetaParam_3: 0.009483
Train Episode: 49	Loss: 1.043541	Accuracy: 0.560	MetaParam_1: 0.018708	MetaParam_2: -0.027610	MetaParam_3: 0.009382
Train Episode: 50	Loss: 1.632995	Accuracy: 0.260	MetaParam_1: 0.018784	MetaParam_2: -0.028049	MetaParam_3: 0.009314
Train Episode: 51	Loss: 1.629834	Accuracy: 0.380	MetaParam_1: 0.018839	MetaParam_2: -0.028457	MetaParam_3: 0.009308
Train Episode: 52	Loss: 1.199986	Accuracy: 0.580	MetaParam_1: 0.018791	MetaParam_2: -0.028760	MetaParam_3: 0.009417
Train Episode: 53	Loss: 1.190375	Accuracy: 0.560	MetaParam_1: 0.018708	MetaParam_2: -0.028970	MetaParam_3: 0.009506
Train Episode: 54	Loss: 1.035230	Accuracy: 0.480	MetaParam_1: 0.018605	MetaParam_2: -0.029120	MetaParam_3: 0.009619
Train Episode: 55	Loss: 0.748302	Accuracy: 0.740	MetaParam_1: 0.018497	MetaParam_2: -0.029238	MetaParam_3: 0.009653
Train Episode: 56	Loss: 1.527610	Accuracy: 0.500	MetaParam_1: 0.018408	MetaParam_2: -0.029412	MetaParam_3: 0.009462
Train Episode: 57	Loss: 0.695418	Accuracy: 0.740	MetaParam_1: 0.018324	MetaParam_2: -0.029608	MetaParam_3: 0.009315
Train Episode: 58	Loss: 0.878928	Accuracy: 0.740	MetaParam_1: 0.018269	MetaParam_2: -0.029839	MetaParam_3: 0.009170
Train Episode: 59	Loss: 0.729800	Accuracy: 0.680	MetaParam_1: 0.018239	MetaParam_2: -0.030081	MetaParam_3: 0.009048
Train Episode: 60	Loss: 0.660115	Accuracy: 0.760	MetaParam_1: 0.018226	MetaParam_2: -0.030375	MetaParam_3: 0.008939
