Train Episode: 1	Loss: 1.229142	Accuracy: 0.490	 Current training data: 100
Train Episode: 2	Loss: 1.216559	Accuracy: 0.450	 Current training data: 100
Train Episode: 3	Loss: 1.213631	Accuracy: 0.540	 Current training data: 100
Train Episode: 4	Loss: 0.707492	Accuracy: 0.710	 Current training data: 100
Train Episode: 5	Loss: 0.691812	Accuracy: 0.710	 Current training data: 100
Train Episode: 6	Loss: 1.666236	Accuracy: 0.370	 Current training data: 100
Train Episode: 7	Loss: 1.506942	Accuracy: 0.270	 Current training data: 100
Train Episode: 8	Loss: 1.095491	Accuracy: 0.540	 Current training data: 100
Train Episode: 9	Loss: 1.175570	Accuracy: 0.470	 Current training data: 100
Train Episode: 10	Loss: 1.319448	Accuracy: 0.450	 Current training data: 100
Train Episode: 11	Loss: 1.294167	Accuracy: 0.400	 Current training data: 100
Train Episode: 12	Loss: 1.152320	Accuracy: 0.410	 Current training data: 100
Train Episode: 13	Loss: 1.026933	Accuracy: 0.800	 Current training data: 100
Train Episode: 14	Loss: 1.397698	Accuracy: 0.380	 Current training data: 100
Train Episode: 15	Loss: 0.493591	Accuracy: 0.810	 Current training data: 100
Train Episode: 16	Loss: 1.210961	Accuracy: 0.610	 Current training data: 100
Train Episode: 17	Loss: 1.086099	Accuracy: 0.500	 Current training data: 100
Train Episode: 18	Loss: 0.630688	Accuracy: 0.850	 Current training data: 100
Train Episode: 19	Loss: 1.201229	Accuracy: 0.560	 Current training data: 100
Train Episode: 20	Loss: 1.026422	Accuracy: 0.700	 Current training data: 100
