Train Episode: 1	Loss: 0.930406	Accuracy: 0.600	 Current training data per class: 80
Train Episode: 2	Loss: 1.635334	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 3	Loss: 1.673761	Accuracy: 0.220	 Current training data per class: 80
Train Episode: 4	Loss: 1.346712	Accuracy: 0.400	 Current training data per class: 80
Train Episode: 5	Loss: 1.531333	Accuracy: 0.260	 Current training data per class: 80
Train Episode: 6	Loss: 1.655767	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 7	Loss: 1.611428	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 8	Loss: 1.392877	Accuracy: 0.340	 Current training data per class: 80
Train Episode: 9	Loss: 1.635523	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 10	Loss: 1.659642	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 11	Loss: 1.639816	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 12	Loss: 2.073246	Accuracy: 0.300	 Current training data per class: 80
Train Episode: 13	Loss: 1.645674	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 14	Loss: 1.626395	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 15	Loss: 1.651225	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 16	Loss: 1.783498	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 17	Loss: 1.624077	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 18	Loss: 1.364095	Accuracy: 0.400	 Current training data per class: 80
Train Episode: 19	Loss: 1.629135	Accuracy: 0.200	 Current training data per class: 80
Train Episode: 20	Loss: 1.681669	Accuracy: 0.380	 Current training data per class: 80
