Train Episode: 1	Loss: 1.241636	Accuracy: 0.630	 Current training data: 50
Train Episode: 2	Loss: 1.208574	Accuracy: 0.520	 Current training data: 50
Train Episode: 3	Loss: 1.423200	Accuracy: 0.390	 Current training data: 50
Train Episode: 4	Loss: 1.564737	Accuracy: 0.260	 Current training data: 50
Train Episode: 5	Loss: 1.422257	Accuracy: 0.410	 Current training data: 50
Train Episode: 6	Loss: 1.452669	Accuracy: 0.420	 Current training data: 50
Train Episode: 7	Loss: 1.220062	Accuracy: 0.490	 Current training data: 50
Train Episode: 8	Loss: 1.513210	Accuracy: 0.200	 Current training data: 50
Train Episode: 9	Loss: 1.458397	Accuracy: 0.390	 Current training data: 50
Train Episode: 10	Loss: 0.902668	Accuracy: 0.620	 Current training data: 50
Train Episode: 11	Loss: 1.418416	Accuracy: 0.390	 Current training data: 50
Train Episode: 12	Loss: 1.466932	Accuracy: 0.450	 Current training data: 50
Train Episode: 13	Loss: 1.431990	Accuracy: 0.500	 Current training data: 50
Train Episode: 14	Loss: 1.464568	Accuracy: 0.210	 Current training data: 50
Train Episode: 15	Loss: 1.244636	Accuracy: 0.540	 Current training data: 50
Train Episode: 16	Loss: 1.309756	Accuracy: 0.580	 Current training data: 50
Train Episode: 17	Loss: 1.234899	Accuracy: 0.620	 Current training data: 50
Train Episode: 18	Loss: 1.484371	Accuracy: 0.280	 Current training data: 50
Train Episode: 19	Loss: 1.534940	Accuracy: 0.400	 Current training data: 50
Train Episode: 20	Loss: 1.603475	Accuracy: 0.270	 Current training data: 50
