Train Episode: 1	Loss: 3.608543	Accuracy: 0.020	Current Training Data: 5	Number of Tasks: 1	Loss 2: 3.055115	Accuracy 2: 0.230	Current Training Data Per Class 2: 10 	Number of Tasks 2: 1	 Total loss: 3.331829	 Total Accuracy: 0.125
Train Episode: 2	Loss: 5.001297	Accuracy: 0.000	Current Training Data: 17	Number of Tasks: 1	Loss 2: 1.713696	Accuracy 2: 0.490	Current Training Data Per Class 2: 27 	Number of Tasks 2: 1	 Total loss: 3.357496	 Total Accuracy: 0.245
Train Episode: 3	Loss: 1.403223	Accuracy: 0.530	Current Training Data: 32	Number of Tasks: 1	Loss 2: 9.979074	Accuracy 2: 0.000	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 5.691149	 Total Accuracy: 0.265
Train Episode: 4	Loss: 3.997900	Accuracy: 0.000	Current Training Data: 5	Number of Tasks: 1	Loss 2: 4.043447	Accuracy 2: 0.200	Current Training Data Per Class 2: 6 	Number of Tasks 2: 1	 Total loss: 4.020673	 Total Accuracy: 0.100
Train Episode: 5	Loss: 1.654484	Accuracy: 0.480	Current Training Data: 30	Number of Tasks: 1	Loss 2: 6.706363	Accuracy 2: 0.000	Current Training Data Per Class 2: 21 	Number of Tasks 2: 1	 Total loss: 4.180424	 Total Accuracy: 0.240
Train Episode: 6	Loss: 2.048272	Accuracy: 0.250	Current Training Data: 21	Number of Tasks: 1	Loss 2: 6.460508	Accuracy 2: 0.000	Current Training Data Per Class 2: 27 	Number of Tasks 2: 1	 Total loss: 4.254390	 Total Accuracy: 0.125
Train Episode: 7	Loss: 1.852154	Accuracy: 0.370	Current Training Data: 35	Number of Tasks: 1	Loss 2: 6.014517	Accuracy 2: 0.000	Current Training Data Per Class 2: 12 	Number of Tasks 2: 1	 Total loss: 3.933336	 Total Accuracy: 0.185
Train Episode: 8	Loss: 2.131633	Accuracy: 0.450	Current Training Data: 27	Number of Tasks: 1	Loss 2: 4.967379	Accuracy 2: 0.000	Current Training Data Per Class 2: 25 	Number of Tasks 2: 1	 Total loss: 3.549506	 Total Accuracy: 0.225
Train Episode: 9	Loss: 4.078707	Accuracy: 0.000	Current Training Data: 17	Number of Tasks: 1	Loss 2: 1.884303	Accuracy 2: 0.450	Current Training Data Per Class 2: 36 	Number of Tasks 2: 1	 Total loss: 2.981505	 Total Accuracy: 0.225
Train Episode: 10	Loss: 3.687531	Accuracy: 0.000	Current Training Data: 24	Number of Tasks: 1	Loss 2: 2.339349	Accuracy 2: 0.200	Current Training Data Per Class 2: 20 	Number of Tasks 2: 1	 Total loss: 3.013440	 Total Accuracy: 0.100
Train Episode: 11	Loss: 3.508773	Accuracy: 0.000	Current Training Data: 25	Number of Tasks: 1	Loss 2: 2.779028	Accuracy 2: 0.200	Current Training Data Per Class 2: 18 	Number of Tasks 2: 1	 Total loss: 3.143900	 Total Accuracy: 0.100
Train Episode: 12	Loss: 1.888428	Accuracy: 0.190	Current Training Data: 38	Number of Tasks: 1	Loss 2: 5.558816	Accuracy 2: 0.000	Current Training Data Per Class 2: 39 	Number of Tasks 2: 1	 Total loss: 3.723622	 Total Accuracy: 0.095
Train Episode: 13	Loss: 3.140510	Accuracy: 0.000	Current Training Data: 24	Number of Tasks: 1	Loss 2: 3.069928	Accuracy 2: 0.200	Current Training Data Per Class 2: 9 	Number of Tasks 2: 1	 Total loss: 3.105219	 Total Accuracy: 0.100
Train Episode: 14	Loss: 3.548150	Accuracy: 0.200	Current Training Data: 8	Number of Tasks: 1	Loss 2: 4.335814	Accuracy 2: 0.000	Current Training Data Per Class 2: 5 	Number of Tasks 2: 1	 Total loss: 3.941982	 Total Accuracy: 0.100
Train Episode: 15	Loss: 4.713442	Accuracy: 0.000	Current Training Data: 5	Number of Tasks: 1	Loss 2: 3.627578	Accuracy 2: 0.200	Current Training Data Per Class 2: 12 	Number of Tasks 2: 1	 Total loss: 4.170510	 Total Accuracy: 0.100
Train Episode: 16	Loss: 4.111335	Accuracy: 0.000	Current Training Data: 6	Number of Tasks: 1	Loss 2: 2.481788	Accuracy 2: 0.350	Current Training Data Per Class 2: 38 	Number of Tasks 2: 1	 Total loss: 3.296561	 Total Accuracy: 0.175
Train Episode: 17	Loss: 3.651358	Accuracy: 0.400	Current Training Data: 14	Number of Tasks: 1	Loss 2: 3.851584	Accuracy 2: 0.000	Current Training Data Per Class 2: 10 	Number of Tasks 2: 1	 Total loss: 3.751472	 Total Accuracy: 0.200
Train Episode: 18	Loss: 2.239892	Accuracy: 0.340	Current Training Data: 30	Number of Tasks: 1	Loss 2: 4.408899	Accuracy 2: 0.000	Current Training Data Per Class 2: 35 	Number of Tasks 2: 1	 Total loss: 3.324396	 Total Accuracy: 0.170
