Train Episode: 1	Loss: 1.236970	Accuracy: 0.585	 Current training data: 10
Train Episode: 2	Loss: 1.275267	Accuracy: 0.575	 Current training data: 10
Train Episode: 3	Loss: 1.267298	Accuracy: 0.515	 Current training data: 10
Train Episode: 4	Loss: 1.110781	Accuracy: 0.590	 Current training data: 10
Train Episode: 5	Loss: 1.113100	Accuracy: 0.605	 Current training data: 10
Train Episode: 6	Loss: 1.077678	Accuracy: 0.605	 Current training data: 10
Train Episode: 7	Loss: 1.363592	Accuracy: 0.550	 Current training data: 10
Train Episode: 8	Loss: 1.045193	Accuracy: 0.610	 Current training data: 10
Train Episode: 9	Loss: 1.354947	Accuracy: 0.600	 Current training data: 10
Train Episode: 10	Loss: 1.224109	Accuracy: 0.600	 Current training data: 10
Train Episode: 11	Loss: 1.557298	Accuracy: 0.495	 Current training data: 10
Train Episode: 12	Loss: 1.281692	Accuracy: 0.600	 Current training data: 10
Train Episode: 13	Loss: 1.018002	Accuracy: 0.610	 Current training data: 10
Train Episode: 14	Loss: 1.224007	Accuracy: 0.565	 Current training data: 10
Train Episode: 15	Loss: 1.248511	Accuracy: 0.575	 Current training data: 10
Train Episode: 16	Loss: 1.121044	Accuracy: 0.650	 Current training data: 10
Train Episode: 17	Loss: 1.168192	Accuracy: 0.655	 Current training data: 10
Train Episode: 18	Loss: 1.701519	Accuracy: 0.460	 Current training data: 10
Train Episode: 19	Loss: 1.287484	Accuracy: 0.520	 Current training data: 10
Train Episode: 20	Loss: 0.996913	Accuracy: 0.640	 Current training data: 10
