Train Episode: 1	Loss: 1.354732	Accuracy: 0.250	 Current training data per class: 40
Train Episode: 2	Loss: 1.589778	Accuracy: 0.180	 Current training data per class: 40
Train Episode: 3	Loss: 2.781064	Accuracy: 0.210	 Current training data per class: 40
Train Episode: 4	Loss: 1.396747	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 5	Loss: 1.661676	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 6	Loss: 1.640939	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 7	Loss: 1.666461	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 8	Loss: 1.581225	Accuracy: 0.300	 Current training data per class: 40
Train Episode: 9	Loss: 1.628300	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 10	Loss: 1.646176	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 11	Loss: 1.639804	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 12	Loss: 1.435348	Accuracy: 0.400	 Current training data per class: 40
Train Episode: 13	Loss: 1.426383	Accuracy: 0.320	 Current training data per class: 40
Train Episode: 14	Loss: 1.856911	Accuracy: 0.300	 Current training data per class: 40
Train Episode: 15	Loss: 1.799531	Accuracy: 0.180	 Current training data per class: 40
Train Episode: 16	Loss: 1.629274	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 17	Loss: 1.652924	Accuracy: 0.200	 Current training data per class: 40
Train Episode: 18	Loss: 1.363917	Accuracy: 0.400	 Current training data per class: 40
Train Episode: 19	Loss: 3.850148	Accuracy: 0.000	 Current training data per class: 40
Train Episode: 20	Loss: 1.143985	Accuracy: 0.510	 Current training data per class: 40
