Train Episode: 1	Loss: 1260395.625000	Accuracy: 0.380	 Current training data per class: 10
Train Episode: 2	Loss: 12.019639	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 3	Loss: 2.519691	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 4	Loss: 31487007129600.000000	Accuracy: 0.420	 Current training data per class: 10
Train Episode: 5	Loss: 1102866939904.000000	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 6	Loss: 194069.093750	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 7	Loss: 329.089294	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 8	Loss: 2.742774	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 9	Loss: 23.054747	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 10	Loss: 61095284.000000	Accuracy: 0.120	 Current training data per class: 10
Train Episode: 11	Loss: 498.121338	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 12	Loss: 6.186382	Accuracy: 0.400	 Current training data per class: 10
Train Episode: 13	Loss: 19735714.000000	Accuracy: 0.220	 Current training data per class: 10
Train Episode: 14	Loss: 95821914112.000000	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 15	Loss: 3732024832.000000	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 16	Loss: 295295680.000000	Accuracy: 0.070	 Current training data per class: 10
Train Episode: 17	Loss: 51259928.000000	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 18	Loss: 666.514404	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 19	Loss: 6918.321289	Accuracy: 0.200	 Current training data per class: 10
Train Episode: 20	Loss: 6027035136.000000	Accuracy: 0.280	 Current training data per class: 10
