Train Episode: 1	Loss: 0.030380	Accuracy: 0.990	 Current training data: 375
Train Episode: 2	Loss: 0.556772	Accuracy: 0.780	 Current training data: 375
Train Episode: 3	Loss: 0.280217	Accuracy: 0.910	 Current training data: 375
Train Episode: 4	Loss: 0.276065	Accuracy: 0.920	 Current training data: 375
Train Episode: 5	Loss: 0.081444	Accuracy: 0.970	 Current training data: 375
Train Episode: 6	Loss: 0.069359	Accuracy: 0.980	 Current training data: 375
Train Episode: 7	Loss: 0.077094	Accuracy: 0.970	 Current training data: 375
Train Episode: 8	Loss: 0.096482	Accuracy: 0.960	 Current training data: 375
Train Episode: 9	Loss: 0.184739	Accuracy: 0.980	 Current training data: 375
Train Episode: 10	Loss: 0.307984	Accuracy: 0.950	 Current training data: 375
Train Episode: 11	Loss: 0.288512	Accuracy: 0.940	 Current training data: 375
Train Episode: 12	Loss: 0.555255	Accuracy: 0.860	 Current training data: 375
Train Episode: 13	Loss: 0.489788	Accuracy: 0.850	 Current training data: 375
Train Episode: 14	Loss: 0.138682	Accuracy: 0.940	 Current training data: 375
Train Episode: 15	Loss: 0.159403	Accuracy: 0.950	 Current training data: 375
Train Episode: 16	Loss: 0.138796	Accuracy: 0.950	 Current training data: 375
Train Episode: 17	Loss: 0.248674	Accuracy: 0.950	 Current training data: 375
Train Episode: 18	Loss: 0.152862	Accuracy: 0.980	 Current training data: 375
Train Episode: 19	Loss: 0.254777	Accuracy: 0.930	 Current training data: 375
Train Episode: 20	Loss: 0.253747	Accuracy: 0.920	 Current training data: 375
